source,code,dataset,years,priority,purpose
고등교육통계,0101,고등교육학교개황,2009~2025,1,학교와 학생의 기본 패널
고등교육통계,0103,대학교학생개황,2009~2025,1,학과별 학생 구성
고등교육통계,0105,대학원학생개황,2009~2025,1,대학원 학생 구성
대학정보공시,0305,신입생충원현황,2009~2025,1,신입생 유입과 충원
대학정보공시,0310,재적학생현황,2009~2025,1,재학·휴학·정원 내외 학생
대학정보공시,0316,중도탈락학생현황,2009~2025,1,탈락 사유별 학생 흐름
대학정보공시,0502,전체교원대비전임교원현황,2009~2025,1,교원 구성
대학정보공시,0503,전임교원1인당학생현황,2009~2025,1,교육여건
대학정보공시,0601,국내외학술지게재논문실적,2009~2025,1,연구성과
대학정보공시,0714,등록금현황,2009~2025,1,학생 부담
대학정보공시,1014,연구비수혜실적,2009~2025,1,연구투입
대학정보공시,1016,장학금수혜현황,2009~2025,1,학생 지원
대학정보공시,1026,현장실습운영현황,2011~2025,2,산학협력
대학정보공시,1207,기숙사수용현황,"2009~2020, 2022~2025",2,생활여건
취업통계,0001,학생인적취업정보,2010~2024,1,졸업 후 성과

