review_order,open_id,first_year,last_year,year_count,identity_status,manual_classification,likely_entity_candidate,candidate_status,candidate_evidence_years,latest_panel_count,latest_row_count,latest_nonzero_measure_count,latest_department_status,excluded_candidates,safe_join_action,evidence_summary
1,2475617289,2009,2025,17,unmatched,closed_school_and_closed_department_residual_id,홍익대학교 정보대학원,unconfirmed_candidate,2010,8,96,0,폐과,서울미디어대학원대학교|상명대학교 디지털미디어대학원,retain_open_id_exclude_from_active_entity_analysis_no_auto_join,"2025년 8개 패널 96행(0101 포함)의 실질 측정값이 모두 0이고 1017의 9개 학과가 모두 폐과다. 2010년 KEDI에서 서울 마포구의 홍익대학교 정보대학원(폐교)이 졸업생수 기준 단일 후보로 나타나지만 직접 학교명 연결은 없으므로 자동 조인하지 않는다."
2,4293097138,2009,2025,17,unmatched,closed_school_and_closed_department_residual_id,한림대학교 국제학대학원,probable_repeated_candidate,2009|2013|2016,9,102,0,폐과,,retain_open_id_exclude_from_active_entity_analysis_no_auto_join,"2025년 9개 패널 102행의 실질 측정값이 모두 0이고 일본학과·지역연구학과·컨벤션전시학과가 모두 폐과다. 0101의 비영 값은 2009년 졸업생 1명·2013년 2명·2016년 1명뿐이며 같은 세 해 모두 강원 춘천시 한림대학교 국제학대학원(폐교)이 졸업생수 기준 후보로 반복된다. 직접 학교명 연결은 없으므로 자동 조인하지 않는다."
3,5622779190,2009,2025,17,unmatched,closed_school_and_closed_department_residual_id,성균관대학교 행정대학원,probable_historical_candidate,2009|2011|2015|2017|2018|2019|2020|2021|2022|2023|2024|2025,10,363,1,폐과,,retain_open_id_exclude_from_active_entity_analysis_no_auto_join,"2025년 10개 패널 363행 중 실질 비영 값은 행정학과 지정형전임교원수 1명 한 건뿐이며 13개 학과가 모두 폐과다. 서울 종로구 소재와 감사행정학과·공공감사학과·교통물류학과·부동산행정학과 등의 조합이 2004년 폐지된 성균관대학교 행정대학원과 강하게 일치한다. 기존 KEDI 직접 매핑과 행 단위 후보는 없으므로 자동 조인하지 않는다."
4,2063185811,2009,2025,16,unmatched,closed_school_and_closed_department_residual_id,명지대학교 기록과학대학원,probable_repeated_candidate,2009|2010|2013|2017,5,20,0,폐과(2024년 최종 확인),명지대학교 기록정보과학전문대학원,retain_open_id_exclude_from_active_entity_analysis_no_auto_join,"2025년 5개 패널 20행의 실질 측정값이 모두 0이고 기록관리학과·스포츠기록분석학과·여가정보학과는 관측된 대학정보공시 자료에서 모두 폐과다. KEDI에서 서울 서대문구 명지대학교 기록과학대학원(폐교)이 2009·2010·2013·2017년에 반복 후보로 나타난다. 현재 후신인 명지대학교 기록정보과학전문대학원은 별도 개방ID 1902594983으로 확인되므로 자동 조인하지 않는다."
5,5409221172,2009,2025,15,unmatched,closed_school_and_closed_department_residual_id,경기대학교 조형대학원,probable_repeated_candidate,2009|2011|2018|2022,9,76,0,폐과,경기대학교 예술대학원,retain_open_id_exclude_from_active_entity_analysis_no_auto_join,"2025년 9개 패널 76행의 실질 측정값이 모두 0이고 도자공예전공·미술경영전공이 모두 폐과다. KEDI에서 경기대학교 조형대학원이 2009·2011·2018·2022년에 반복 후보로 나타나며 2022년에는 폐교 상태다. 현재 경기대학교 예술대학원은 별도 개방ID 6763784468로 확인되므로 자동 조인하지 않는다."
6,1665736079,2016,2025,10,unmatched,confirmed_identity_zero_activity_closure_transition_id,가야대학교 항만물류대학원,confirmed_exact_kedi_and_official_match,2016|2017|2018|2019|2020|2021|2022|2023|2024|2025,10,50,12,기존,,manual_join_kedi_53001E91_exclude_from_active_performance_analysis_track_2026_closure,"KEDI 원본 2016~2025년 모두 가야대학교 항만물류대학원이 동일 지역·야간·기존 상태로 직접 확인되고 2025 학교코드는 53001E91이다. EDSS 2025년 10개 패널 50행에서 실제 학생·지원자·입학생·졸업생·교원은 모두 0이지만 입학정원 20명·편제정원 50명·수업료 3,068,000원·입학금 653,000원과 물류학전공 기존 상태가 남아 있다. 가야대학교가 2026년 항만물류대학원 폐원을 공식 공고했으므로 2025년에는 신원확정·무실적·폐원전환 ID로 두고 실적 기반 활성기관 분석에서 제외한다."
7,7928458094,2021,2025,5,unmatched,confirmed_identity_zero_activity_id,서울기독대학교 운동재활복지대학원,confirmed_exact_kedi_and_official_match,2021|2022|2023|2024|2025,10,50,13,기존,,manual_join_kedi_53039G08_exclude_from_active_performance_analysis,"KEDI 원본 2021~2025년 모두 서울기독대학교 운동재활복지대학원이 동일 지역·야간·기존 상태로 직접 확인되고 2025 학교코드는 53039G08이다. EDSS 2025년 10개 패널 50행에서 실제 학생·지원자·입학생·졸업생·교원은 모두 0이지만 입학정원 10명·편제정원 19명·수업료 3,520,000원·입학금 600,000원과 운동재활복지학과 기존 상태가 남아 있다. 폐교·폐과 근거는 없으므로 신원확정·무실적 ID로 두고 실적 기반 활성기관 분석에서 제외한다."
8,8463049173,2022,2025,4,unmatched,closed_school_and_closed_department_residual_id,성균관대학교 무역대학원,probable_repeated_exact_raw_candidate,2022|2023|2024,9,49,0,폐과,,retain_open_id_exclude_from_active_entity_analysis_no_auto_join,"EDSS 2025년 9개 패널 49행의 실질 측정값이 모두 0이고 국제금융학과는 2022~2025년 모두 폐과다. 2022년 졸업생 2명 외 활동값이 없으며 KEDI 원본에서 서울 종로구 성균관대학교 무역대학원이 2022~2024년 정확히 반복되고 폐교 상태로 확인된다. 2025년 KEDI 목록에서는 사라졌으므로 폐교·폐과 잔존 ID로 보존하되 직접 학교코드가 없어 자동 조인하지 않는다."
9,4359300494,2023,2025,3,unmatched,confirmed_identity_active_name_change_successor_id,용인대학교 스포츠과학대학원,confirmed_exact_kedi_official_and_metric_match,2023|2024|2025,24,230,133,기존,용인대학교 스포츠웰니스산업대학원|용인대학교체육과학대학원,manual_join_kedi_53085933_include_in_active_entity_analysis_keep_predecessor_ids_separate,"EDSS 2025년 24개 패널 230행에서 재적학생 54명·입학생 32명·졸업생 21명·학과 4개가 확인되고 체육과학과·스포츠레저학과·골프학과·발달재활·특수체육학과는 모두 기존 상태다. KEDI 2023~2025 용인대학교 스포츠과학대학원의 재적·입학·졸업·학과 수와 정확히 일치하며 2025 학교코드는 53085933이다. 용인대학교 공식 연혁은 2023학년도 스포츠웰니스산업대학원에서 스포츠과학대학원으로의 명칭변경을 명시한다. 0101의 입학생·졸업생 누락성 0과 지역명 수준 차이 때문에 자동매칭이 실패했으므로 수동 연결하고, 구 ID 5688246011·4584404349와는 이력 관계만 보존한다."
10,1042688965,2024,2025,2,unmatched,confirmed_identity_closed_school_residual_id,성신여자대학교 AI세무·회계대학원,confirmed_exact_kedi_and_official_closure_match,2024|2025,10,76,8,기존(공식 폐지 후 잔존),,manual_join_kedi_53068G42_exclude_from_active_entity_analysis_override_kedi_status_with_official_closure,"EDSS 2025년 10개 패널 76행에서 학생·입학생·졸업생·교원·직원·학과 수는 모두 0이고 학교 존재 표식과 입학정원 6명·수업료 3,967,000원만 남아 있다. 창업학과·회계세무학과는 기존·야간으로 표시된다. KEDI 원본의 서울 성북구 동일 후보는 성신여자대학교 AI세무·회계대학원이며 2025 학교코드는 53068G42이나 학교상태가 기존으로 남아 있다. 성신여자대학교 공식 연혁과 학칙 개정 이력은 2024년 9월 1일 폐지를 명시하므로 공식 상태를 우선해 폐교 후 잔존 ID로 분류하고 활성기관 분석에서 제외한다."
