_panel_year,_school_identity_key,edss_school_name,edss_school_kind,edss_province,edss_source_row_count,edss_department_count,api_survey_year,api_school_name,api_school_kind,api_provinces,api_department_count,department_intersection_count,department_union_count,department_jaccard,name_match_method,match_status,candidate_open_id,canonical_open_id_imputed
2023,employment-school-c2332ea272829180fedb,가야대학교일반대학원,일반대학원,경남,1,1,2025,가야대학교 일반대학원(김해),일반대학원,경남,3,1,3,0.333333,terminal_parenthetical_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-84b1cbb269407adcdb20,가천대학교 일반대학원,일반대학원,경기,48,48,2025,가천대학교 일반대학원,일반대학원,경기|인천,102,48,102,0.470588,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-661d383452934e35abad,가톨릭관동대학교 일반대학원,일반대학원,강원,21,21,2025,가톨릭관동대학교 일반대학원,일반대학원,강원,49,21,49,0.428571,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-09533c15bfe1fbdbd4bb,가톨릭대학교 일반대학원,일반대학원,서울,5,5,2025,가톨릭대학교 일반대학원,일반대학원,서울,14,5,14,0.357143,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-cb2efcb2b2f878830ee4,가톨릭대학교 일반대학원,일반대학원,서울,1,1,2025,가톨릭대학교 일반대학원,일반대학원,서울,14,1,14,0.071429,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-a0316d716e5832cffe0e,가톨릭대학교대학원,일반대학원,경기,22,22,2025,가톨릭대학교 대학원,일반대학원,경기,47,22,47,0.468085,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-f43a7328284dd14e17c2,감리교신학대학교대학원,일반대학원,서울,1,1,2025,감리교신학대학교 대학원,일반대학원,서울,2,1,2,0.500000,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-455dd3cd6dbe43919af8,강남대학교대학원,일반대학원,경기,8,8,2025,강남대학교 대학원,일반대학원,경기,16,8,16,0.500000,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-b2e64321031ff47da655,강릉원주대학교대학원,일반대학원,강원,31,31,,,,,,,,,,unmatched_name_context,,false
2023,employment-school-cdc718539ce5640e4f79,강릉원주대학교대학원,일반대학원,강원,7,7,,,,,,,,,,unmatched_name_context,,false
2023,employment-school-f98ad3e802a70ee36482,강서대학교 일반대학원,일반대학원,서울,3,3,2025,강서대학교 일반대학원,일반대학원,서울,7,3,7,0.428571,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-2d2bb58053dc0c1c8814,강원대학교일반대학원,일반대학원,강원,105,105,2025,강원대학교 일반대학원,일반대학원,강원,219,105,219,0.479452,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-d02a63b2b1e9da6602c7,건국대학교 일반대학원,일반대학원,충북,23,23,,,,,,,,,,unmatched_name_context,,false
2023,employment-school-06fb40a5323ed92f35c8,건국대학교일반대학원,일반대학원,서울,90,90,2025,건국대학교 일반대학원,일반대학원,서울,216,90,216,0.416667,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-4f8441409a6c5591de05,건양대학교 일반대학원,일반대학원,대전,13,13,2025,건양대학교 일반대학원,일반대학원,대전,30,13,30,0.433333,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-1d72237df8b261ae828f,경기대학교 일반대학원,일반대학원,서울,57,57,2025,경기대학교 일반대학원,일반대학원,경기|서울,118,57,118,0.483051,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-36788ad6148410719976,경남과학기술대학교 대학원,일반대학원,경남,21,21,2025,경남과학기술대학교 대학원,일반대학원,경남,34,21,34,0.617647,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-a98be5b19cc610e276d7,경남대학교대학원,일반대학원,경남,20,20,2025,경남대학교 대학원,일반대학원,경남,72,20,72,0.277778,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-bad6a16c14a4ba6508c5,경북대학교 일반대학원,일반대학원,대구,122,122,2025,경북대학교 일반대학원,일반대학원,경북|대구,250,122,250,0.488000,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-1cca71a51e564feb1b3f,경상국립대학교 대학원,일반대학원,경남,87,87,2025,경상국립대학교 대학원,일반대학원,경남,220,87,220,0.395455,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-e5e1ec2b32aa616553c3,경성대학교 일반대학원,일반대학원,부산,36,36,2025,경성대학교 일반대학원,일반대학원,부산,83,35,84,0.416667,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-801fc2d9a190adaff769,경운대학교 일반대학원,일반대학원,경북,10,10,2025,경운대학교 일반대학원,일반대학원,경북,23,10,23,0.434783,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-9c3bba80d44c0707a5d5,경일대학교 일반대학원,일반대학원,경북,18,18,2025,경일대학교 일반대학원,일반대학원,경북,35,18,35,0.514286,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-69aec49f215db0d638d9,경주대학교일반대학원,일반대학원,경북,2,2,,,,,,,,,,unmatched_name_context,,false
2023,employment-school-ec68fc829c37733ca078,경희대학교대학원,일반대학원,서울,99,99,2025,경희대학교 대학원,일반대학원,경기|서울,163,99,163,0.607362,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-66615e749e45a2632f52,계명대학교 대학원,일반대학원,대구,57,57,2025,계명대학교 대학원,일반대학원,대구,89,57,89,0.640449,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-ccfad40f2c2531d1e16e,고려대학교 대학원,일반대학원,서울,83,83,2025,고려대학교 대학원,일반대학원,서울,114,83,114,0.728070,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-0d64b5bdf83ce029d380,고려대학교 일반대학원,일반대학원,세종,28,28,,,,,,,,,,unmatched_name_context,,false
2023,employment-school-a311891e9c8d838db16a,고신대학교 대학원,일반대학원,부산,8,8,2025,고신대학교 대학원,일반대학원,부산,11,8,11,0.727273,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-191c16fbd5e259a522f2,공주대학교대학원,일반대학원,충남,85,85,,,,,,,,,,unmatched_name_context,,false
2023,employment-school-d511140fffcaf70ae31d,광신대학교대학원,일반대학원,광주,8,8,2025,광신대학교 대학원,일반대학원,광주,14,8,14,0.571429,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-68f3892200f9bda49687,광운대학교대학원,일반대학원,서울,38,38,2025,광운대학교 대학원,일반대학원,서울,63,38,63,0.603175,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-d8045d3946695066c998,광주가톨릭대학교대학원,일반대학원,전남,1,1,2025,광주가톨릭대학교 대학원,일반대학원,전남,2,1,2,0.500000,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-6a86d7aef359c3e48d57,광주과학기술원 일반대학원,일반대학원,광주,11,11,2025,광주과학기술원 일반대학원,일반대학원,광주,25,11,25,0.440000,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-18a2a251be2d9d517178,광주대학교 일반대학원,일반대학원,광주,25,25,2025,광주대학교 일반대학원,일반대학원,광주,51,25,51,0.490196,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-ec8aac838e334af66742,광주여자대학교 일반대학원,일반대학원,광주,7,7,2025,광주여자대학교 일반대학원,일반대학원,광주,14,7,14,0.500000,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-6a4f5ff5c1625df63306,국민대학교대학원,일반대학원,서울,47,47,2025,국민대학교 대학원,일반대학원,서울,74,46,75,0.613333,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-9c8ff68610e6acf23221,군산대학교대학원,일반대학원,전북,36,36,,,,,,,,,,unmatched_name_context,,false
2023,employment-school-fb3f8620e7e98054816f,극동대학교일반대학원,일반대학원,충북,5,5,2025,극동대학교 일반대학원,일반대학원,충북,26,5,26,0.192308,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-c2bb3998671b702aba9b,금강대학교 일반대학원,일반대학원,충남,2,2,2025,금강대학교 일반대학원,일반대학원,충남,3,2,3,0.666667,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-549ea93a5acd5f8c216c,금오공과대학교대학원,일반대학원,경북,19,19,,,,,,,,,,unmatched_name_context,,false
2023,employment-school-b5cca3e02838a6431988,김천대학교 일반대학원,일반대학원,경북,3,3,,,,,,,,,,unmatched_name_context,,false
2023,employment-school-98912f09515adab20d1d,나사렛대학교 일반대학원,일반대학원,충남,5,5,2025,나사렛대학교 일반대학원,일반대학원,충남,10,0,15,0.000000,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-a9f8642288bcc5cd76f6,남부대학교 일반대학원,일반대학원,광주,12,12,2025,남부대학교 일반대학원,일반대학원,광주,18,12,18,0.666667,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-82cd37bcfbe9887b76a1,남서울대학교 일반대학원,일반대학원,충남,20,20,2025,남서울대학교 일반대학원,일반대학원,충남,52,20,52,0.384615,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-9b678f6e237fbd6c1509,단국대학교 일반대학원,일반대학원,경기,50,50,2025,단국대학교 일반대학원,일반대학원,경기|충남,107,50,107,0.467290,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-55c8ee68402bd29f85c5,단국대학교 일반대학원,일반대학원,충남,27,27,2025,단국대학교 일반대학원,일반대학원,경기|충남,107,27,107,0.252336,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-8931dca02bf883e23e0f,대구가톨릭대학교대학원,일반대학원,경북,52,52,2025,대구가톨릭대학교 대학원,일반대학원,경북|대구,134,52,134,0.388060,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-726cca68f2f7ffed0397,대구경북과학기술원 일반대학원,일반대학원,대구,6,6,2025,대구경북과학기술원 일반대학원,일반대학원,대구,11,6,11,0.545455,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-d3dc2af089ca676dbfc6,대구대학교대학원,일반대학원,경북,41,41,2025,대구대학교 대학원,일반대학원,경북|대구,82,41,82,0.500000,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-489fe8ac73c2d60dc72f,대구한의대학교 대학원,일반대학원,경북,19,19,2025,대구한의대학교 대학원,일반대학원,경북,40,19,40,0.475000,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-705357ee8a6c57dc413e,대신대학교 대학원,일반대학원,경북,4,4,2025,대신대학교 대학원,일반대학원,경북,6,4,6,0.666667,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-61f54d0c40660651dd7c,대전가톨릭대학교 대학원,일반대학원,세종,1,1,2025,대전가톨릭대학교 대학원,일반대학원,세종,2,1,2,0.500000,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-db9bd54c8c741516081e,대전대학교 일반대학원,일반대학원,대전,30,30,2025,대전대학교 일반대학원,일반대학원,대전,58,30,58,0.517241,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-e6c0874e4e7bdf4d1d59,대전신학대학교 일반대학원,일반대학원,대전,1,1,2025,대전신학대학교 일반대학원,일반대학원,대전,4,1,4,0.250000,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-6d6b36dad957b00f8a3e,대진대학교 대학원,일반대학원,경기,18,18,2025,대진대학교 대학원,일반대학원,경기,60,18,60,0.300000,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-5970e3a02a0ca07ec618,덕성여자대학교 대학원,일반대학원,서울,11,11,2025,덕성여자대학교 대학원,일반대학원,서울,34,11,34,0.323529,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-0da0d561c84d5e608046,동국대학교 대학원,일반대학원,서울,73,73,2025,동국대학교 대학원,일반대학원,서울,145,73,145,0.503448,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-c438b6fdaf5f3c5d9372,동국대학교 일반대학원,일반대학원,경북,19,19,,,,,,,,,,unmatched_name_context,,false
2023,employment-school-b2693e63a44cb08416c4,동덕여자대학교일반대학원,일반대학원,서울,15,15,2025,동덕여자대학교 일반대학원,일반대학원,서울,40,15,40,0.375000,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-7625316e6c1e7cac775b,동명대학교 일반대학원,일반대학원,부산,10,10,2025,동명대학교 일반대학원,일반대학원,부산,17,10,17,0.588235,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-b000a8575f648c23a232,동서대학교일반대학원,일반대학원,부산,15,15,2025,동서대학교 일반대학원,일반대학원,부산,27,15,27,0.555556,exact_normalized_name_kind_region,candidate_unique_name_context,,false
2023,employment-school-1ed7926e6118abb6ace7,동신대학교대학원,일반대학원,전남,27,27,2025,동신대학교 대학원,일반대학원,전남,47,27,47,0.574468,exact_normalized_name_kind_region,candidate_unique_name_context,,false
