academyinfo_school_id,school_name_2023,school_name_2024,school_full_name_2023,school_full_name_2024,school_division_2023,school_division_2024,school_kind_2023,school_kind_2024,branch_2023,branch_2024,region_2023,region_2024,academyinfo_enrollment_2023,academyinfo_enrollment_2024,edss_exact_open_id_count_2023,edss_exact_open_id_count_2024,edss_exact_open_ids_2023,edss_exact_open_ids_2024,candidate_open_id,candidate_method,resolution_status
0000001,국립강릉원주대학교,국립강릉원주대학교,국립강릉원주대학교 _ 본교,국립강릉원주대학교 _ 본교,대학,대학,대학교,대학교,본교,본교,강원,강원,9945,9622,0,0,,,,,unresolved_two_year_exact_match_not_unique
0000002,국립강릉원주대학교,국립강릉원주대학교,국립강릉원주대학교 _ 제2캠퍼스,국립강릉원주대학교 _ 제2캠퍼스,대학,대학,대학교,대학교,제2캠퍼스,제2캠퍼스,강원,강원,,,0,0,,,,,unresolved_missing_two_year_numeric_enrollment
0000003,강원대학교,강원대학교,강원대학교 _ 본교,강원대학교 _ 본교,대학,대학,대학교,대학교,본교,본교,강원,강원,28860,28770,0,0,,,,,unresolved_two_year_exact_match_not_unique
0000004,강원대학교,강원대학교,강원대학교 _ 제2캠퍼스,강원대학교 _ 제2캠퍼스,대학,대학,대학교,대학교,제2캠퍼스,제2캠퍼스,강원,강원,,,0,0,,,,,unresolved_missing_two_year_numeric_enrollment
0000005,경북대학교,경북대학교,경북대학교 _ 본교,경북대학교 _ 본교,대학,대학,대학교,대학교,본교,본교,대구,대구,28665,28855,0,0,,,,,unresolved_two_year_exact_match_not_unique
0000007,경상국립대학교,경상국립대학교,경상국립대학교 _ 본교,경상국립대학교 _ 본교,대학,대학,대학교,대학교,본교,본교,경남,경남,20262,21100,0,0,,,,,unresolved_two_year_exact_match_not_unique
0000008,국립공주대학교,국립공주대학교,국립공주대학교 _ 본교,국립공주대학교 _ 본교,대학,대학,대학교,대학교,본교,본교,충남,충남,15994,16004,0,0,,,,,unresolved_two_year_exact_match_not_unique
0000009,국립군산대학교,국립군산대학교,국립군산대학교 _ 본교,국립군산대학교 _ 본교,대학,대학,대학교,대학교,본교,본교,전북,전북,8737,8549,0,1,,8402900099,,,unresolved_two_year_exact_match_not_unique
0000010,국립금오공과대학교,국립금오공과대학교,국립금오공과대학교 _ 본교,국립금오공과대학교 _ 본교,대학,대학,대학교,대학교,본교,본교,경북,경북,7507,7405,1,1,5637881100,5637881100,5637881100,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000011,국립목포대학교,국립목포대학교,국립목포대학교 _ 본교,국립목포대학교 _ 본교,대학,대학,대학교,대학교,본교,본교,전남광주,전남광주,8309,7949,1,1,3325767040,3325767040,3325767040,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000012,국립목포해양대학교,국립목포해양대학교,국립목포해양대학교 _ 본교,국립목포해양대학교 _ 본교,대학,대학,대학교,대학교,본교,본교,전남광주,전남광주,3016,2997,1,1,8557606160,8557606160,8557606160,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000013,국립부경대학교,국립부경대학교,국립부경대학교 _ 본교,국립부경대학교 _ 본교,대학,대학,대학교,대학교,본교,본교,부산,부산,20806,20749,1,1,9321250915,9321250915,9321250915,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000014,부산대학교,부산대학교,부산대학교 _ 본교,부산대학교 _ 본교,대학,대학,대학교,대학교,본교,본교,부산,부산,26400,26294,0,0,,,,,unresolved_two_year_exact_match_not_unique
0000019,서울대학교,서울대학교,서울대학교 _ 본교,서울대학교 _ 본교,대학,대학,대학교,대학교,본교,본교,서울,서울,21432,21671,0,0,,,,,unresolved_two_year_exact_match_not_unique
0000020,국립순천대학교,국립순천대학교,국립순천대학교 _ 본교,국립순천대학교 _ 본교,대학,대학,대학교,대학교,본교,본교,전남광주,전남광주,8786,8596,1,0,9872376203,,,,unresolved_two_year_exact_match_not_unique
0000021,국립경국대학교,국립경국대학교,국립경국대학교 _ 본교,국립경국대학교 _ 본교,대학,대학,대학교,대학교,본교,본교,경북,경북,6914,6625,1,1,6292823433,6292823433,6292823433,academyinfo_two_year_exact_enrollment_school_context,candidate_two_year_exact_enrollment
0000023,전남대학교,전남대학교,전남대학교 _ 본교,전남대학교 _ 본교,대학,대학,대학교,대학교,본교,본교,전남광주,전남광주,25381,25393,0,0,,,,,unresolved_two_year_exact_match_not_unique
