catalog_sheet,catalog_row,source_domain,major_area,code,dataset,university_scope,delivery_type,provider,source_url,available_years,analysis_unit,major_fields,provision_level,school_code_available,seventy_percent_rule,priority,panel_relevance,download_status,notes
"교육통계(12종, 106테이블)",5,교육통계,공통(통합),0001,학교속성,,EDSS file data,EDSS open data (source custodian recorded by domain),https://www.edmgr.kr/edss/es/opd/odd/od/es_opd_oddod01_001,2009~2025,집계 또는 기관,"조사년도,학교급명,시도명,시군명,학제명,설립구분명,종교단체명,운영방식명,고등학교운영특례명,고등학교유형명,통합구분명,급식지정실시구분명,입학생유형명,법인종류명,설립주체명,설립유형명,시설환경명,본교분교구분명,교장공모제여부,학교설립일자,학제유형명,주야구분명,급지구분명,유치원소유형태명,지역행정구분명,장애학생구분명,특수지구분명,남녀공학구분명,학교수",,Y,,3,out_of_scope_initial,catalogued_not_downloaded,*학업성취도 및 대학수학능력시험 자료 요청 시 학교 식별가능성 자료 제공 불가 (교육기관정보공개법 제5조제2항 및 동법 제8조의2제3항)
"교육통계(12종, 106테이블)",6,교육통계,공통(통합),0002,유초중등학교개황,,EDSS file data,EDSS open data (source custodian recorded by domain),https://www.edmgr.kr/edss/es/opd/odd/od/es_opd_oddod01_001,2009~2025,집계 또는 기관,"조사년도,학제명,시도명,학제유형명,유초중등학교개황_전공과정여학생수,유초중등학교개황_전공과정학생수,고등학교과정여학생수,고등학교과정학생수,중학교과정여학생수,중학교과정학생수,초등학교과정여학생수,초등학교과정학생수,유초중등학교개황_유치원과정여학생수,유초중등학교개황_유치원과정학생수,유초중등학교개황_3학년야간여학생수,유초중등학교개황_3학년야간학생수,유초중등학교개황_2학년야간여학생수,유초중등학교개황_2학년야간학생수,유초중등학교개황_1학년야간여학생수,유초중등학교개황_1학년야간학생수,유초중등학교개황_3학년주간여학생수,유초중등학교개황_3학년주간학생수,유초중등학교개황_신입원아수,유초중등학교개황_여자신입원아수,유초중등학교개황_기타교사용도면적,유초중등학교개황_관리지원공간면적,유초중등학교개황_교수학습공간면적,유초중등학교개황_학교용지체육장면적,유초중등학교개황_학교용지대지면적,가교실및대용교실수,유초중등학교개황_정규교실수,유초중등학교개황_여자사무직원수,유초중등학교개황_사무직원수,유초중등학교개황_여자교원수,유초중등학교개황_교원수,유초중등학교개황_여자졸업생수,유초중등학교개황_졸업생수,유초중등학교개황_여자입학생수,유초중등학교개황_입학생수,유초중등학교개황_여자재취원자수,유초중등학교개황_재취원자수,유초중등학교개황_2학년주간여학생수,유초중등학교개황_2학년주간학생수,유초중등학교개황_1학년주간학급수,유초중등학교개황_복식학급수,유초중등학교개황_단식학급수,유초중등학교개황_학급수,주야간학교수,야간학교수,주간학교수,남녀공학분교학교수,남녀공학학교수,여자분교학교수,여자학교수,남자분교학교수,남자학교수,분교학교수,학교수,유초중등학교개황_2학년주간학급수,유초중등학교개황_3학년주간학급수,유초중등학교개황_1학년주간여학생수,유초중등학교개황_1학년주간학생수,유초중등학교개황_여학생수,유초중등학교개황_학생수,유초중등학교개황_여자원아수,유초중등학교개황_원아수,유초중등학교개황_전공과정학급수,유초중등학교개황_고등학교과정학급수,유초중등학교개황_중학교과정학급수,유초중등학교개황_초등학교과정학급수,유초중등학교개황_1학년야간학급수,유초중등학교개황_2학년야간학급수,유초중등학교개황_3학년야간학급수,유초중등학교개황_특수주간학급수,유초중등학교개황_특수야간학급수,유초중등학교개황_순회주간학급수,유초중등학교개황_순회야간학급수,유초중등학교개황_유치원과정학급수",,Y,,3,out_of_scope_initial,catalogued_not_downloaded,
"교육통계(12종, 106테이블)",7,교육통계,공통(통합),0003,유초중등학급현황,,EDSS file data,EDSS open data (source custodian recorded by domain),https://www.edmgr.kr/edss/es/opd/odd/od/es_opd_oddod01_001,2009~2025,집계 또는 기관,"조사년도,학제명,시도명,학제유형명,초등학교과정6학년단식학급수,초등학교과정5학년단식학급수,초등학교과정4학년단식학급수,초등학교과정3학년단식학급수,초등학교과정2학년단식학급수,초등학교과정1학년단식학급수,유초중등학급_초등학교과정학급수,유초중등학급_유치원과정학급수,유초중등학급_순회야간학급수,유초중등학급_순회주간학급수,초등학교과정복식학급수,유초중등학급_중학교과정학급수,중학교과정1학년단식학급수,중학교과정2학년단식학급수,중학교과정3학년단식학급수,중학교과정복식학급수,유초중등학급_고등학교과정학급수,고등학교과정1학년단식학급수학급수,고등학교과정2학년단식학급수학급수,고등학교과정3학년단식학급수학급수,고등학교과정복식학급수,유초중등학급_전공과정학급수,유초중등학급_특수야간학급수,유초중등학급_특수주간학급수,유초중등학급_학급수,유초중등학급_단식학급수,1학년단식학급수,2학년단식학급수,3학년단식학급수,4학년단식학급수,5학년단식학급수,6학년단식학급수,유초중등학급_복식학급수,2개학년이하복식학급수,유초중등학급_3학년야간학급수,유초중등학급_2학년야간학급수,유초중등학급_1학년야간학급수,유초중등학급_3학년주간학급수,유초중등학급_2학년주간학급수,유초중등학급_1학년주간학급수,6개학년복식학급수,5개학년복식학급수,4개학년복식학급수,3개학년복식학급수",,Y,,3,out_of_scope_initial,catalogued_not_downloaded,
"교육통계(12종, 106테이블)",8,교육통계,공통(통합),0004,유초중등학생현황,,EDSS file data,EDSS open data (source custodian recorded by domain),https://www.edmgr.kr/edss/es/opd/odd/od/es_opd_oddod01_001,2009~2025,집계 또는 기관,"조사년도,학제명,시도명,학제유형명,국외전문대학진학여학생수,중등과정여자입학생수,중등과정입학생수,초등과정여자입학생수,초등과정입학생수,유치원과정여자입학생수,유치원과정입학생수,야간기타여자입학생수,야간기타입학생수,야간졸업생여자입학생수,야간졸업생입학생수,야간재학생여자입학생수,야간재학생입학생수,전공과정여자입학생수,유초중등학생_졸업생수,일반고진학희망여학생수,일반고진학희망학생수,진학희망여학생수,진학희망학생수,전공과정여자졸업생수,전공과정졸업생수,고등과정여자졸업생수,고등과정졸업생수,중등과정여자졸업생수,중등과정졸업생수,초등과정여자졸업생수,초등과정졸업생수,유치원과정여자졸업생수,유치원과정졸업생수,유초중등학생_여자졸업생수,국외대학진학학생수,국외대학진학여학생수,취업자수,1학년지방장학금액,1학년지방장학금수혜학생수,3학년정부장학금액,3학년정부장학금수혜학생수,2학년정부장학금액,2학년정부장학금수혜학생수,1학년정부장학금액,1학년정부장학금수혜학생수,유학이민학생수,도외전입여학생수,도외전입학생수,도내전입여학생수,도내전입학생수,도외전출여학생수,도외전출학생수,2학년지방장학금수혜학생수,2학년지방장학금액,3학년학교운영지원비감면금액,3학년학교운영지원비감면학생수,2학년학교운영지원비감면금액,2학년학교운영지원비감면학생수,1학년학교운영지원비감면금액,1학년학교운영지원비감면학생수,3학년기타장학금액,3학년기타장학금수혜학생수,2학년기타장학금액,2학년기타장학금수혜학생수,1학년기타장학금액,1학년기타장학금수혜학생수,3학년지방장학금액,3학년지방장학금수혜학생수,도내전출여학생수,도내전출학생수,부적응학업중단학생수,질병학업중단여학생수,질병학업중단학생수,면제여학생수,면제학생수,유예여학생수,유예학생수,미상여학생수,미상학생수,미진학여학생수,미진학학생수,입대학생수,여자무직자수,무직자수,여자취업자수,부적응학업중단여학생수,품행학업중단학생수,유급여학생수,유급학생수,사망여학생수,사망학생수,복학여학생수,복학생수,편입여학생수,편입생수,재입학여학생수,재입학학생수,기타학업중단여학생수,기타학업중단학생수,가사학업중단여학생수,가사학업중단학생수,품행학업중단여학생수,주간기타여자입학생수,특수목적고등학교진학학생수,특성화고진학여학생수,특성화고진학학생수,일반고진학여학생수,일반고진학학생수,중학교진학여학생수,중학교진학학생수,진학여학생수,진학학생수,기타진학희망여학생수,기타진학희망학생수,자율고등학교진학희망여학생수,자율고등학교진학희망학생수,특수목적고등학교진학희망여학생수,특수목적고등학교진학희망학생수,특수목적고등학교진학여학생수,자율고등학교진학학생수,순회학급여학생수,국외전문대학진학학생수,국내각종학교진학여학생수,국내각종학교진학학생수,국내대학진학여학생수,국내대학진학학생수,국내교육대학진학여학생수,국내교육대학진학학생수,국내전문대학진학여학생수,국내전문대학진학학생수,고등교육진학여학생수,고등교육진학학생수,기타진학여학생수,기타진학학생수,자율고등학교진학여학생수,특성화고진학희망여학생수,특성화고진학희망학생수,전공과정입학생수,고등과정여자입학생수,고등과정입학생수,7세이상원아수,6세여자원아수,6세원아수,5세여자원아수,5세원아수,4세여자원아수,4세원아수,3세여자원아수,3세원아수,유초중등학생_여자원아수,유초중등학생_원아수,유초중등학생_학생수,유초중등학생_여학생수,복식학급학생수,6학년단식학급여학생수,6학년단식학급학생수,5학년단식학급여학생수,5학년단식학급학생수,4학년단식학급여학생수,4학년단식학급학생수,3학년단식학급여학생수,3학년단식학급학생수,2학년단식학급여학생수,2학년단식학급학생수,1학년단식학급여학생수,1학년단식학급학생수,단식학급여학생수,단식학급학생수,중학교과정1학년여학생수,중학교과정2학년학생수,중학교과정2학년여학생수,유초중등학생_여자재취원자수,유초중등학생_재취원자수,유초중등학생_여자신입원아수,유초중등학생_신입원아수,야간기타여자입학지원자수,야간기타입학지원자수,야간졸업생여자입학지원자수,야간졸업생입학지원자수,야간재학생여자입학지원자수,야간재학생입학지원자수,주간기타여자입학지원자수,주간기타입학지원자수,주간졸업생여자입학지원자수,주간졸업생입학지원자수,주간재학생여자입학지원자수,유초중등학생_입학생수,유초중등학생_여자입학생수,주간졸업생입학생수,주간재학생여자입학생수,주간재학생입학생수,기타여자입학생수,기타입학생수,졸업생여자입학생수,졸업생입학생수,재학생여자입학생수,재학생입학생수,조기입학여아수,조기입학생수,여자유예과령아동입학생수,유예과령아동입학생수,여자적령아동입학생수,적령아동입학생수,주간재학생입학지원자수,기타여자입학지원자수,입학대상자수,유초중등학생_전공과정여학생수,유초중등학생_전공과정학생수,고등학교과정복식학급여학생수,고등학교과정복식학급학생수,고등학교과정3학년여학생수,고등학교과정3학년학생수,고등학교과정2학년여학생수,고등학교과정2학년학생수,고등학교과정1학년여학생수,고등학교과정1학년학생수,중학교과정복식학급여학생수,중학교과정복식학급학생수,중학교과정3학년여학생수,중학교과정3학년학생수,여자입학대상자수,적령아동입학대상자수,기타입학지원자수,졸업생여자입학지원자수,졸업생입학지원자수,재학생여자입학지원자수,재학생입학지원자수,여자입학지원자수,입학지원자수,야간입학정원수,주간입학정원수,입학정원수,조기입학신청여아수,조기입학신청자수,여자유예과령아동입학대상자수,유예과령아동입학대상자수,여자적령아동입학대상자수,주간기타입학생수,주간졸업생여자입학생수,유초중등학생_3학년야간여학생수,유초중등학생_3학년야간학생수,유초중등학생_2학년야간여학생수,유초중등학생_2학년야간학생수,유초중등학생_1학년야간여학생수,유초중등학생_1학년야간학생수,유초중등학생_3학년주간여학생수,유초중등학생_3학년주간학생수,유초중등학생_2학년주간여학생수,유초중등학생_2학년주간학생수,유초중등학생_1학년주간여학생수,유초중등학생_1학년주간학생수,순회학급학생수,특수학급여학생수,유초중등학생_유치원과정학생수,유초중등학생_유치원과정여학생수,중학교과정1학년학생수,초등학교과정복식학급여학생수,초등학교과정복식학급학생수,초등학교과정6학년여학생수,초등학교과정6학년학생수,초등학교과정5학년여학생수,초등학교과정5학년학생수,초등학교과정4학년여학생수,초등학교과정4학년학생수,초등학교과정3학년여학생수,초등학교과정3학년학생수,초등학교과정2학년여학생수,초등학교과정2학년학생수,초등학교과정1학년여학생수,초등학교과정1학년학생수,특수학급학생수,복식학급여학생수,7세이상여자원아수",,Y,,3,out_of_scope_initial,catalogued_not_downloaded,
"교육통계(12종, 106테이블)",9,교육통계,공통(통합),0005,유초중등시설현황,,EDSS file data,EDSS open data (source custodian recorded by domain),https://www.edmgr.kr/edss/es/opd/odd/od/es_opd_oddod01_001,2009~2025,집계 또는 기관,"조사년도,학제명,시도명,학제유형명,중앙난방신재생에너지실수_2014년이후,지역난방면적_2014년이후,지역난방실수_2014년이후,탄류사용량,유류사용량,가스사용량,유초중등시설_학교용지대지면적,유초중등시설_학교용지체육장면적,학교용지농장면적,학교용지연습림면적,학교용지실습지기타면적,학교소유대지면적,학교소유체육장면적,학교소유농장면적,학교소유연습림면적,학교소유실습지기타면적,공공소유면적,개인소유면적,유초중등시설_정규교실수,심야전력사용량,일반전력사용량,공유면적,유초중등시설_기타교사용도면적,기숙사사택공간면적,식당공간면적,조리실공간면적,보건위생공간면적,체육집회공간면적,유초중등시설_관리지원공간면적,유초중등시설_교수학습공간면적,대용교실수,가교실수,신재생에너지사용량_2014년이후,냉방면적,비난방영역면적,중앙난방면적,심야난방면적,일반난방면적,화석연료난방면적,유류난방면적,가스난방면적,지하수사용량,상수도사용량,집단에너지사용량,개별난방전기면적_2014년이후,개별난방전기실수_2014년이후,개별난방신재생에너지면적_2014년이후,개별난방신재생에너지실수_2014년이후,중앙난방가스면적_2014년이후,중앙난방가스실수_2014년이후,중앙난방유류면적_2014년이후,중앙난방유류실수_2014년이후,중앙난방탄류면적_2014년이후,중앙난방탄류실수_2014년이후,중앙난방기타면적_2014년이후,중앙난방전기실수_2014년이후,중앙난방신재생에너지면적_2014년이후",,Y,,3,out_of_scope_initial,catalogued_not_downloaded,
"교육통계(12종, 106테이블)",10,교육통계,공통(통합),0006,유초중등사무직원현황,,EDSS file data,EDSS open data (source custodian recorded by domain),https://www.edmgr.kr/edss/es/opd/odd/od/es_opd_oddod01_001,2009~2025,집계 또는 기관,"조사년도,학제명,시도명,학제유형명,일반직6급여자사무직원수,일반직7급사무직원수,일반직7급여자사무직원수,일반직8급사무직원수,일반직8급여자사무직원수,일반직9급사무직원수,일반직9급여자사무직원수,기능직사무직원수,기능직여자사무직원수,별정직사무직원수,별정직여자사무직원수,기타사무직원수,기타여자사무직원수,일반직6급사무직원수,일반직5급여자사무직원수,일반직5급사무직원정원수,일반직6급사무직원정원수,일반직7급사무직원정원수,일반직8급사무직원정원수,일반직9급사무직원정원수,기능직사무직원정원수,별정직사무직원정원수,기타사무직원정원수,유초중등사무직원_사무직원수,유초중등사무직원_여자사무직원수,일반직5급사무직원수",,Y,,3,out_of_scope_initial,catalogued_not_downloaded,
"교육통계(12종, 106테이블)",11,교육통계,공통(통합),0007,유초중등교원현황,,EDSS file data,EDSS open data (source custodian recorded by domain),https://www.edmgr.kr/edss/es/opd/odd/od/es_opd_oddod01_001,2009~2025,집계 또는 기관,"조사년도,학제명,시도명,학제유형명,휴직여자수석교사수,보직교사수,여자보직교사수,휴직보직교사수,휴직여자보직교사수,교사수,여자교사수,휴직교사수,휴직여자교사수,전문상담교사수,여자전문상담교사수,휴직전문상담교사수,휴직여자전문상담교사수,사서교사수,휴직수석교사수,여자수석교사수,수석교사수,휴직여자교감수,휴직교감수,여자교감수,교감수,휴직여자교장수,휴직교장수,여자교장수,교장수,유초중등교원_여자교원수,유초중등교원_교원수,여자사서교사수,휴직사서교사수,여자시간강사수,시간강사수,여자기간제교사수,기간제교사수,휴직여자영양교사수,휴직영양교사수,여자영양교사수,영양교사수,휴직여자보건교사수,휴직보건교사수,여자보건교사수,보건교사수,휴직여자실기교사수,휴직실기교사수,여자실기교사수,실기교사수,휴직여자사서교사수",,Y,,3,out_of_scope_initial,catalogued_not_downloaded,
"교육통계(12종, 106테이블)",12,교육통계,공통(통합),0008,도서관운영현황,,EDSS file data,EDSS open data (source custodian recorded by domain),https://www.edmgr.kr/edss/es/opd/odd/od/es_opd_oddod01_001,2009~2025,집계 또는 기관,"조사년도,학제명,시도명,도서관예산운영비,도서관예산자료구입비,도서관비도서수,도서관도서수,도서관예산액,도서관연간이용도서수,도서관연간이용자수,도서관장서수,도서관좌석수,도서관직원수,도서관수",,Y,,3,out_of_scope_initial,catalogued_not_downloaded,
"교육통계(12종, 106테이블)",13,교육통계,공통(통합),0009,고등학교휴학사유별현황,,EDSS file data,EDSS open data (source custodian recorded by domain),https://www.edmgr.kr/edss/es/opd/odd/od/es_opd_oddod01_001,2009~2025,집계 또는 기관,"조사년도,학제명,시도명,학년구분명,기타여학생수,기타남학생수,군입대여학생수,군입대남학생수,가사여학생수,가사남학생수,품행여학생수,품행남학생수,학교부적응여학생수,남학생수,고등학교휴학사유별_여학생수,질병건강남학생수,질병건강여학생수,학교부적응남학생수",,Y,,3,out_of_scope_initial,catalogued_not_downloaded,
"교육통계(12종, 106테이블)",14,교육통계,학교총개황,0011,학교총개황,,EDSS file data,EDSS open data (source custodian recorded by domain),https://www.edmgr.kr/edss/es/opd/odd/od/es_opd_oddod01_001,2009~2025,집계 또는 기관,"학제유형그룹명, 학제유형명, 학제명, 세부학교종류명, 시도명, 학교설립그룹명, 학교설립명, 주야구분명, 남녀공학구분명, 교원수, 학생수, 학교용지체육장면적, 학교용지대지면적, 학교수, 교수학습공간면적, 사무직원수, 입학생수, 학과수, 관리지원공간면적, 대학원대학교수, 졸업생수, 여자교원수, 여자사무직원수, 여자입학생수, 여자졸업생수, 여학생수, 기타교사용도면적, 심화과정학과수, 박사과정학과수, 학급수, 분교학교수, 학사심화과정입학생수, 학사심화과정여자입학생수, 전체학교수",,Y,,3,out_of_scope_initial,catalogued_not_downloaded,
