province,scope,schools_2022,schools_2023,difference_2023_minus_2022
강원,대학,21,21,0
강원,일반대학원,6,6,0
경기,대학,70,73,3
경기,일반대학원,30,30,0
경남,대학,23,23,0
경남,일반대학원,9,9,0
경북,대학,36,40,4
경북,일반대학원,16,17,1
광주,대학,18,18,0
광주,일반대학원,9,9,0
대구,대학,13,14,1
대구,일반대학원,3,3,0
대전,대학,17,19,2
대전,일반대학원,12,11,-1
부산,대학,24,25,1
부산,일반대학원,13,13,0
서울,대학,54,70,16
서울,일반대학원,40,40,0
세종,대학,4,4,0
세종,일반대학원,3,3,0
울산,대학,5,5,0
울산,일반대학원,2,2,0
인천,대학,9,9,0
인천,일반대학원,3,4,1
전남,대학,22,22,0
전남,일반대학원,8,8,0
전북,대학,20,21,1
전북,일반대학원,7,7,0
제주,대학,5,5,0
제주,일반대학원,1,2,1
충남,대학,26,27,1
충남,일반대학원,13,13,0
충북,대학,19,19,0
충북,일반대학원,8,8,0
