province,level,schools_2022,schools_2023,difference_2023_minus_2022
강원,대학,21,21,0
강원,대학원,6,37,31
경기,대학,70,73,3
경기,대학원,30,185,155
경남,대학,23,23,0
경남,대학원,9,47,38
경북,대학,36,40,4
경북,대학원,16,67,51
광주,대학,18,18,0
광주,대학원,9,44,35
대구,대학,13,14,1
대구,대학원,3,37,34
대전,대학,17,19,2
대전,대학원,12,60,48
부산,대학,24,25,1
부산,대학원,13,74,61
서울,대학,54,70,16
서울,대학원,40,422,382
세종,대학,4,4,0
세종,대학원,3,10,7
울산,대학,5,5,0
울산,대학원,2,10,8
인천,대학,9,9,0
인천,대학원,3,26,23
전남,대학,22,22,0
전남,대학원,8,21,13
전북,대학,20,21,1
전북,대학원,7,47,40
제주,대학,5,5,0
제주,대학원,1,14,13
충남,대학,26,27,1
충남,대학원,13,62,49
충북,대학,19,19,0
충북,대학원,8,41,33
