_panel_year,_school_identity_key,학교명,본분교명,시도명,학교종류명,source_row_count,department_count,department_college_pair_count,candidate_open_id,candidate_method,bridge_year_exists,province_context_match,branch_context_match,resolution_status
2023,employment-school-5d4bb44f8d04d2888419,ICT폴리텍대학,본교,경기,기능대학,4,4,4,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-839d5d7faada5a9629b0,LH토지주택대학교,본교,대전,사내대학(대학),2,2,2,,,not_tested,not_tested,not_tested,unresolved_signature_too_small
2023,employment-school-f326df05133007cdb772,SPC식품과학대학,본교,서울,사내대학(전문),1,1,1,,,not_tested,not_tested,not_tested,unresolved_signature_too_small
2023,employment-school-96f20712e5a563192eb8,가야대학교,본교,경남,대학,13,13,13,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-1df17ac52a58dccc903f,가야대학교 보건대학원,본교,경남,특수대학원,3,3,3,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-c2332ea272829180fedb,가야대학교일반대학원,본교,경남,일반대학원,1,1,1,,,not_tested,not_tested,not_tested,unresolved_signature_too_small
2023,employment-school-f70e540e9f1eb30f8ce2,가야대학교행정대학원,본교,경남,특수대학원,1,1,1,,,not_tested,not_tested,not_tested,unresolved_signature_too_small
2023,employment-school-1e30cc4dc7ba246b6bbe,가천대학교,본교,경기,대학,66,65,66,,,not_tested,not_tested,not_tested,unresolved_no_exact_signature
2023,employment-school-1655376e428fd7e009b8,가천대학교 간호대학원,본교,인천,특수대학원,1,1,1,,,not_tested,not_tested,not_tested,unresolved_signature_too_small
2023,employment-school-a13d4c9f4868b5915e47,가천대학교 게임대학원,본교,경기,특수대학원,2,2,2,,,not_tested,not_tested,not_tested,unresolved_signature_too_small
2023,employment-school-c9438aa3a9ebea63a249,가천대학교 경영대학원,본교,경기,특수대학원,2,2,2,,,not_tested,not_tested,not_tested,unresolved_signature_too_small
2023,employment-school-bbf730b98c8c04d6dfce,가천대학교 교육대학원,본교,경기,특수대학원,1,1,1,,,not_tested,not_tested,not_tested,unresolved_signature_too_small
2023,employment-school-84ac9e4ea4191832c862,가천대학교 보건대학원,본교,인천,특수대학원,1,1,1,,,not_tested,not_tested,not_tested,unresolved_signature_too_small
2023,employment-school-596a8a040e366e78d8f5,가천대학교 사회정책대학원,본교,경기,특수대학원,2,2,2,,,not_tested,not_tested,not_tested,unresolved_signature_too_small
2023,employment-school-0f53a76cb5a4c1661cf7,가천대학교 산업환경대학원,본교,경기,특수대학원,1,1,1,,,not_tested,not_tested,not_tested,unresolved_signature_too_small
