province,parent_school_name,parent_resolution_method,graduate_school_identity_count,department_count,graduate_school_kinds,component_school_names
강원,가톨릭관동대학교,longest_undergraduate_name_prefix,3,18,특수대학원,가톨릭관동대학교 경영행정대학원|가톨릭관동대학교 교육대학원|가톨릭관동대학교 사회복지대학원
강원,강릉원주대학교,longest_undergraduate_name_prefix,3,22,특수대학원,강릉원주대학교경영정책과학대학원|강릉원주대학교교육대학원|강릉원주대학교산업대학원
강원,강원대학교,longest_undergraduate_name_prefix,9,51,전문대학원|특수대학원,강원대학교 경영대학원|강원대학교 녹색생명산업정책대학원|강원대학교 방재전문대학원|강원대학교 산업과학대학원|강원대학교 의학전문대학원|강원대학교 정보과학ㆍ행정대학원|강원대학교교육대학원|강원대학교법학전문대학원|강원대학교산업대학원
강원,상지대학교,longest_undergraduate_name_prefix,4,12,특수대학원,상지대학교 사회복지정책대학원|상지대학교 사회융합대학원|상지대학교 평화안보.상담심리대학원|상지대학교교육대학원
강원,서울대학교,longest_undergraduate_name_prefix,1,1,전문대학원,서울대학교 국제농업기술대학원
강원,연세대학교,longest_undergraduate_name_prefix,3,16,특수대학원,연세대학교 보건환경대학원|연세대학교 정경·창업대학원|연세대학교 정경대학원
강원,춘천교육대학교,longest_undergraduate_name_prefix,1,21,특수대학원,춘천교육대학교교육대학원
강원,한라대학교,longest_undergraduate_name_prefix,1,7,특수대학원,한라대학교정보산업대학원
강원,한림대학교,longest_undergraduate_name_prefix,6,10,특수대학원,한림대학교 간호대학원|한림대학교 글로벌협력대학원|한림대학교 보건과학대학원|한림대학교 임상치의학대학원|한림대학교경영대학원|한림대학교사회복지대학원
경기,가천대학교,longest_undergraduate_name_prefix,6,10,특수대학원,가천대학교 게임대학원|가천대학교 경영대학원|가천대학교 교육대학원|가천대학교 사회정책대학원|가천대학교 산업환경대학원|가천대학교 특수치료대학원
경기,가톨릭대학교,longest_undergraduate_name_prefix,2,9,특수대학원,가톨릭대학교 교회법대학원|가톨릭대학교교육대학원
경기,강남대학교,longest_undergraduate_name_prefix,4,17,전문대학원|특수대학원,강남대학교 국제대학원|강남대학교 융복합대학원|강남대학교교육대학원|강남대학교사회복지전문대학원
경기,경기대학교,longest_undergraduate_name_prefix,4,26,특수대학원,경기대학교 공학대학원|경기대학교 교육대학원|경기대학교 행정복지상담대학원|경기대학교 행정사회복지대학원
경기,경희대학교,longest_undergraduate_name_prefix,6,32,전문대학원|특수대학원,경희대학교 국제대학원|경희대학교 동서의학대학원|경희대학교 아트퓨전디자인대학원|경희대학교 체육대학원|경희대학교 테크노경영대학원|경희대학교평화복지대학원
경기,구세군사관대학원대학교,standalone_graduate_university,1,2,특수대학원,구세군사관대학원대학교
경기,국립암센터국제암대학원대학교,standalone_graduate_university,1,2,전문대학원,국립암센터국제암대학원대학교
경기,국제법률경영대학원대학교,standalone_graduate_university,1,1,전문대학원,국제법률경영대학원대학교
경기,능인대학원대학교,standalone_graduate_university,1,2,전문대학원,능인대학원대학교
경기,단국대학교,longest_undergraduate_name_prefix,9,51,전문대학원|특수대학원,단국대학교 경영대학원|단국대학교 교육대학원|단국대학교 문화예술대학원|단국대학교 부동산·건설대학원|단국대학교 영화콘텐츠전문대학원|단국대학교 정보·지식재산대학원|단국대학교 정보융합기술·창업대학원|단국대학교 특수교육대학원|단국대학교 행정법무대학원
경기,대진대학교,longest_undergraduate_name_prefix,4,15,전문대학원|특수대학원,대진대학교 공공정책대학원|대진대학교 교육대학원|대진대학교 문화예술전문대학원|대진대학교 통일대학원
경기,대한신학대학원대학교,standalone_graduate_university,1,4,전문대학원,대한신학대학원대학교
경기,루터대학교,longest_undergraduate_name_prefix,1,3,특수대학원,루터대학교 대학원
경기,명지대학교,longest_undergraduate_name_prefix,1,8,특수대학원,명지대학교 산업대학원
경기,서울신학대학교,longest_undergraduate_name_prefix,6,6,전문대학원|특수대학원,서울신학대학교 교회성장대학원|서울신학대학교 설교대학원|서울신학대학교 신학전문대학원|서울신학대학교사회복지대학원|서울신학대학교상담대학원|서울신학대학교신학대학원
경기,서울장신대학교,longest_undergraduate_name_prefix,6,6,특수대학원,서울장신대학교 교회음악대학원|서울장신대학교 사회복지상담대학원|서울장신대학교 신학대학원|서울장신대학교 영성심리치유대학원|서울장신대학교 예배찬양사역대학원|서울장신대학교 자연치유선교대학원
경기,선학유피대학원대학교,standalone_graduate_university,1,3,전문대학원,선학유피대학원대학교
경기,성결대학교,longest_undergraduate_name_prefix,5,11,특수대학원,성결대학교 프라임대학원|성결대학교교육대학원|성결대학교사회복지대학원|성결대학교성결신학대학원|성결대학교신학대학원
경기,성균관대학교,longest_undergraduate_name_prefix,5,7,전문대학원|특수대학원,성균관대학교 글로벌창업대학원|성균관대학교 기술경영전문대학원|성균관대학교 수자원전문대학원|성균관대학교 임상간호대학원|성균관대학교 임상약학대학원
경기,성서침례대학원대학교,standalone_graduate_university,1,1,전문대학원,성서침례대학원대학교
경기,수원대학교,longest_undergraduate_name_prefix,11,23,특수대학원,수원대학교 고용서비스대학원|수원대학교 공공정책대학원|수원대학교 공학대학원|수원대학교 글로벌창업대학원|수원대학교 미술대학원|수원대학교 스포츠과학대학원|수원대학교 음악대학원|수원대학교경영대학원|수원대학교교육대학원|수원대학교사회복지대학원|수원대학교호텔관광대학원
경기,신한대학교,longest_undergraduate_name_prefix,1,5,특수대학원,신한대학교 지식복지대학원
경기,실천신학대학원대학교,standalone_graduate_university,1,1,전문대학원,실천신학대학원대학교
경기,아신대학교,longest_undergraduate_name_prefix,5,8,특수대학원,아신대학교 교육대학원|아신대학교 복지대학원|아신대학교 상담대학원|아신대학교 선교대학원|아신대학교 신학대학원
경기,아주대학교,longest_undergraduate_name_prefix,12,26,전문대학원|특수대학원,아주대학교 IT융합대학원|아주대학교 공학대학원|아주대학교 교통·ITS대학원|아주대학교 글로벌제약임상대학원|아주대학교 법학전문대학원|아주대학교 보건대학원|아주대학교 임상치의학대학원|아주대학교경영대학원|아주대학교공공정책대학원|아주대학교교육대학원|아주대학교국제대학원|아주대학교정보통신대학원
경기,안양대학교,longest_undergraduate_name_prefix,4,10,특수대학원,안양대학교 글로벌대학원|안양대학교경영행정대학원|안양대학교교육대학원|안양대학교신학대학원
경기,에스라성경대학원대학교,standalone_graduate_university,1,1,전문대학원,에스라성경대학원대학교
경기,예원예술대학교,longest_undergraduate_name_prefix,1,10,특수대학원,예원예술대학교 문화예술대학원
경기,온석대학원대학교,standalone_graduate_university,1,6,전문대학원,온석대학원대학교
경기,용인대학교,longest_undergraduate_name_prefix,9,20,특수대학원,용인대학교 문화예술대학원|용인대학교 문화재대학원|용인대학교 스포츠웰니스산업대학원|용인대학교 재활복지대학원|용인대학교 태권도대학원|용인대학교 통일대학원|용인대학교경영대학원|용인대학교교육대학원|용인대학교체육과학대학원
경기,웨스트민스터신학대학원대학교,standalone_graduate_university,1,9,전문대학원,웨스트민스터신학대학원대학교
경기,을지대학교,longest_undergraduate_name_prefix,2,7,특수대학원,을지대학교 보건복지대학원|을지대학교 임상간호대학원
경기,제네바신학대학원대학교,standalone_graduate_university,1,1,전문대학원,제네바신학대학원대학교
