column_name,data_type,source,transformation,meaning,missingness_rule
employment_cohort_year,VARCHAR,analysis.employment_cohort_school_2010_2020,group_key,취업 졸업 코호트 연도,공란 불가
employment_source_panel_year,VARCHAR,analysis.employment_cohort_school_2010_2020,group_key,선택된 EDSS 원본 파일 연도,공란 불가
employment_reference_date,VARCHAR,analysis.employment_cohort_school_2010_2020,group_key,선택된 관측 파동의 조사 기준일,공란 불가
employment_reference_date_basis,VARCHAR,analysis.employment_cohort_school_2010_2020,group_key,조사 기준일 체계 june_1 또는 december_31,공란 불가
comparison_interval,VARCHAR,derived,reference_date_interval,균형 패널과 전년 비교를 정의하는 동일 기준일 구간,공란 불가
previous_comparable_cohort_year,VARCHAR,derived,lag_within_comparison_interval,같은 기준일 구간의 직전 코호트 연도,2010년과 2014년은 구간 시작이므로 공란
all_available_school_count,BIGINT,analysis.employment_cohort_school_2010_2020,count_rows,해당 코호트에서 관측된 전체 학교 OpenID 수,공란 불가
balanced_school_count,BIGINT,analysis.employment_cohort_school_2010_2020,complete_open_id_set_within_interval,해당 기준일 구간 모든 코호트에 관측된 학교 OpenID 수,공란 불가이며 같은 구간 안에서 일정
balanced_school_coverage_share,DOUBLE,derived,balanced_school_count_divided_by_all_available_school_count,전체 관측 학교 중 균형 패널 학교 비율,공란 불가
schools_added_from_previous_comparable_cohort,BIGINT,analysis.employment_cohort_school_2010_2020,current_open_ids_minus_previous_open_ids,같은 기준일 구간 직전 코호트보다 새로 관측된 학교 수,2010년과 2014년은 공란
schools_missing_from_previous_comparable_cohort,BIGINT,analysis.employment_cohort_school_2010_2020,previous_open_ids_minus_current_open_ids,같은 기준일 구간 직전 코호트에서 관측됐으나 현재 빠진 학교 수,2010년과 2014년은 공란
all_available_source_record_count,BIGINT,analysis.employment_cohort_school_2010_2020,sum,전체 관측 학교의 선택 원천 레코드 수,공란 불가
balanced_source_record_count,BIGINT,analysis.employment_cohort_school_2010_2020,sum_balanced_subset,균형 패널 학교의 선택 원천 레코드 수,공란 불가
balanced_source_record_coverage_share,DOUBLE,derived,balanced_source_records_divided_by_all_source_records,전체 선택 원천 레코드 중 균형 패널 비율,공란 불가
all_available_reported_graduate_count,BIGINT,analysis.employment_cohort_school_2010_2020,sum,전체 관측 학교의 원천 보고 졸업학생 수,공란 불가
balanced_reported_graduate_count,BIGINT,analysis.employment_cohort_school_2010_2020,sum_balanced_subset,균형 패널 학교의 원천 보고 졸업학생 수,공란 불가
balanced_graduate_coverage_share,DOUBLE,derived,balanced_graduates_divided_by_all_graduates,전체 원천 보고 졸업학생 중 균형 패널 비율,공란 불가
all_available_reported_employed_count,BIGINT,analysis.employment_cohort_school_2010_2020,sum,전체 관측 학교의 원천 보고 취업자 수,공란 불가
balanced_reported_employed_count,BIGINT,analysis.employment_cohort_school_2010_2020,sum_balanced_subset,균형 패널 학교의 원천 보고 취업자 수,공란 불가
all_available_reported_employed_share_of_graduates,DOUBLE,derived,all_employed_divided_by_all_graduates,전체 관측 학교의 설명적 취업자 비율이며 공식 취업률이 아님,공란 불가
balanced_reported_employed_share_of_graduates,DOUBLE,derived,balanced_employed_divided_by_balanced_graduates,균형 패널 학교의 설명적 취업자 비율이며 공식 취업률이 아님,공란 불가
balanced_minus_all_reported_employed_share_pp,DOUBLE,derived,balanced_share_minus_all_share_times_100,균형 패널과 전체 표본 설명적 비율 차이 퍼센트포인트,공란 불가
all_available_share_change_pp_from_previous_comparable_cohort,DOUBLE,derived,all_share_change_within_interval,전체 표본의 같은 기준일 구간 직전 코호트 대비 퍼센트포인트 변화,2010년과 2014년은 공란
balanced_share_change_pp_from_previous_comparable_cohort,DOUBLE,derived,balanced_share_change_within_interval,균형 패널의 같은 기준일 구간 직전 코호트 대비 퍼센트포인트 변화,2010년과 2014년은 공란
balanced_minus_all_yoy_change_pp,DOUBLE,derived,balanced_yoy_change_minus_all_yoy_change,균형 패널과 전체 표본의 전년 변화 차이 퍼센트포인트,2010년과 2014년은 공란
