employment_cohort_year,employment_source_panel_year,employment_reference_date,employment_reference_date_basis,comparison_interval,previous_comparable_cohort_year,all_available_school_count,balanced_school_count,balanced_school_coverage_share,schools_added_from_previous_comparable_cohort,schools_missing_from_previous_comparable_cohort,all_available_source_record_count,balanced_source_record_count,balanced_source_record_coverage_share,all_available_reported_graduate_count,balanced_reported_graduate_count,balanced_graduate_coverage_share,all_available_reported_employed_count,balanced_reported_employed_count,all_available_reported_employed_share_of_graduates,balanced_reported_employed_share_of_graduates,balanced_minus_all_reported_employed_share_pp,all_available_share_change_pp_from_previous_comparable_cohort,balanced_share_change_pp_from_previous_comparable_cohort,balanced_minus_all_yoy_change_pp
2010,2010,2010-06-01,june_1,june_1_2010_2013,,513,496,0.966861598,,,539071,532413,0.987649122,539071,532413,0.987649122,267003,263600,0.495302103,0.495104364,-0.019774,,,
2011,2011,2011-06-01,june_1,june_1_2010_2013,2010,543,496,0.913443831,33,3,559000,547480,0.979391771,559000,547480,0.979391771,292028,284433,0.522411449,0.519531307,-0.288014,2.710935,2.442694,-0.268241
2012,2012,2012-06-01,june_1,june_1_2010_2013,2011,543,496,0.913443831,5,5,566374,556211,0.982056027,566374,556211,0.982056027,294884,288273,0.520652431,0.518279933,-0.23725,-0.175902,-0.125137,0.050765
2013,2013,2013-06-01,june_1,june_1_2010_2013,2012,537,496,0.923649907,5,11,555141,545986,0.983508694,555141,545986,0.983508694,284660,278354,0.512770629,0.509818933,-0.29517,-0.78818,-0.8461,-0.05792
2014,2015,2014-12-31,december_31,december_31_2014_2020,,552,515,0.932971014,,,557234,535287,0.960614392,557234,535287,0.960614392,302280,289215,0.542465104,0.540298942,-0.216616,,,
2015,2016,2015-12-31,december_31,december_31_2014_2020,2014,554,515,0.929602888,7,5,576023,556968,0.966919724,576023,556968,0.966919724,315412,304285,0.547568413,0.546324026,-0.124439,0.510331,0.602508,0.092177
2016,2017,2016-12-31,december_31,december_31_2014_2020,2015,557,515,0.92459605,6,3,580695,565979,0.974657953,580695,565979,0.974657953,318438,309641,0.548373931,0.547089203,-0.128473,0.080552,0.076518,-0.004034
2017,2018,2017-12-31,december_31,december_31_2014_2020,2016,552,515,0.932971014,3,8,574009,561124,0.977552617,574009,561124,0.977552617,305263,297588,0.531808735,0.530342669,-0.146607,-1.65652,-1.674653,-0.018133
2018,2019,2018-12-31,december_31,december_31_2014_2020,2017,544,515,0.946691176,3,11,555808,544433,0.9795343,555808,544433,0.9795343,299883,292903,0.539544231,0.537996411,-0.154782,0.77355,0.765374,-0.008176
2019,2020,2019-12-31,december_31,december_31_2014_2020,2018,537,515,0.959031657,3,10,550354,540661,0.9823877,550354,540661,0.9823877,291210,285414,0.529132159,0.527898258,-0.12339,-1.041207,-1.009815,0.031392
2020,2021,2020-12-31,december_31,december_31_2014_2020,2019,537,515,0.959031657,3,3,553521,543853,0.982533635,553521,543853,0.982533635,283694,278150,0.512526173,0.51144335,-0.108282,-1.660599,-1.645491,0.015108
