employment_cohort_year,employment_source_panel_year,employment_reference_date,employment_reference_date_basis,employment_comparability_regime,comparison_interval,trend_use_status,previous_comparable_cohort_year,reference_date_comparable_to_previous,school_count,source_record_count,reported_graduate_count,reported_graduate_count_change_from_previous_comparable_cohort,reported_employed_count,reported_employed_share_of_graduates,reported_employed_count_change_from_previous_comparable_cohort,reported_employed_share_change_pp_from_previous_comparable_cohort,reported_health_insurance_employed_count,reported_health_insurance_employed_share_of_graduates,reported_school_employed_count,reported_further_study_count,reported_further_study_share_of_graduates,further_study_quality_status,reported_excluded_count,reported_excluded_share_of_graduates,reported_other_count,reported_unknown_count,reported_other_unknown_share_of_graduates
2010,2010,2010-06-01,june_1,june_1_pre_unification,june_1_2010_2013,interval_start_no_yoy,,false,513,539071,539071,,267003,0.495302103,,,267003,0.495302103,0,36105,0.066976335,as_reported,5883,0.010913219,211600,5992,0.403642563
2011,2011,2011-06-01,june_1,june_1_pre_unification,june_1_2010_2013,comparable_with_previous_within_reference_date_interval,2010,true,543,559000,559000,19929,292028,0.522411449,25025,2.710935,284516,0.508973166,6758,35705,0.063872987,as_reported,8684,0.015534884,201455,4480,0.368398927
2012,2012,2012-06-01,june_1,june_1_pre_unification,june_1_2010_2013,comparable_with_previous_within_reference_date_interval,2011,true,543,566374,566374,7374,294884,0.520652431,2856,-0.175902,285944,0.504867808,8940,37675,0.06651965,as_reported,8707,0.015373234,198333,3849,0.356976132
2013,2013,2013-06-01,june_1,june_1_pre_unification,june_1_2010_2013,comparable_with_previous_within_reference_date_interval,2012,true,537,555141,555141,-11233,284660,0.512770629,-10224,-0.78818,274356,0.494209579,10304,39641,0.071407084,as_reported,2583,0.004652872,199691,4636,0.368063249
2014,2015,2014-12-31,december_31,december_31_transition_selected,december_31_2014_2020,interval_start_no_yoy,,false,552,557234,557234,,302280,0.542465104,,,292706,0.525283813,9574,34618,0.062124709,as_reported,6348,0.011391983,155950,5063,0.288950423
2015,2016,2015-12-31,december_31,december_31_post_unification,december_31_2014_2020,comparable_with_previous_within_reference_date_interval,2014,true,554,576023,576023,18789,315412,0.547568413,13132,0.510331,305667,0.530650686,9745,0,,all_zero_source_field,6474,0.011239135,158989,6128,0.286650012
2016,2017,2016-12-31,december_31,december_31_post_unification,december_31_2014_2020,comparable_with_previous_within_reference_date_interval,2015,true,557,580695,580695,4672,318438,0.548373931,3026,0.080552,309672,0.533278227,8766,0,,all_zero_source_field,6291,0.01083357,160833,6278,0.287777577
2017,2018,2017-12-31,december_31,december_31_post_unification,december_31_2014_2020,comparable_with_previous_within_reference_date_interval,2016,true,552,574009,574009,-6686,305263,0.531808735,-13175,-1.65652,296642,0.516789806,8621,0,,all_zero_source_field,6703,0.011677517,163755,8403,0.299922127
2018,2019,2018-12-31,december_31,december_31_post_unification,december_31_2014_2020,comparable_with_previous_within_reference_date_interval,2017,true,544,555808,555808,-18201,299883,0.539544231,-5380,0.77355,292897,0.526975142,6986,0,,all_zero_source_field,6526,0.011741465,152555,6001,0.285271173
2019,2020,2019-12-31,december_31,december_31_post_unification,december_31_2014_2020,comparable_with_previous_within_reference_date_interval,2018,true,537,550354,550354,-5454,291210,0.529132159,-8673,-1.041207,284363,0.516691075,6847,30294,0.055044571,as_reported,6363,0.011561649,153674,4889,0.288110925
2020,2021,2020-12-31,december_31,december_31_post_unification,december_31_2014_2020,comparable_with_previous_within_reference_date_interval,2019,true,537,553521,553521,3167,283694,0.512526173,-7516,-1.660599,276727,0.499939478,6967,31150,0.056276094,as_reported,6248,0.011287738,161209,6510,0.303003861
