_panel_year,_school_identity_key,학교명,본분교명,시도명,학교종류명,academyinfo_school_id,academyinfo_school_name,academyinfo_enrollment,edss_0101_enrollment,candidate_open_id,candidate_method,department_signature_candidate_open_id,department_signature_resolution_status,cross_validation_status,resolution_status
2023,employment-school-96f20712e5a563192eb8,가야대학교,본교,경남,대학,0002748,가야대학교(김해),2153,2153,4998354494,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-d1185a6d92cb8496ae60,가톨릭관동대학교,본교,강원,대학,0000072,가톨릭관동대학교,9398,9398,2705171465,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-75ac685cabd2f79d71fd,가톨릭꽃동네대학교,본교,충북,대학,0000215,가톨릭꽃동네대학교,554,554,9979787409,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-d378273b4a20c6eb6950,가톨릭상지대학교,본교,경북,전문대학,0000410,가톨릭상지대학교,2282,2282,1930877268,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-ce47fbaae4e00d275b54,감리교신학대학교,본교,서울,대학,0000050,감리교신학대학교,849,849,6596412479,academyinfo_two_year_exact_enrollment_school_context,,unresolved_signature_too_small,not_available,candidate_two_year_exact_enrollment
2023,employment-school-97cfa07a86cee99311e2,강남대학교,본교,경기,대학,0000051,강남대학교,8716,8716,4122748434,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-694afc07d5b5d18cd3b4,강동대학교,본교,충북,전문대학,0000433,강동대학교,3809,3809,2568355739,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-14d9b5b99f87e69f8055,강릉영동대학교,본교,강원,전문대학,0000514,강릉영동대학교,3953,3953,6458310902,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-c8bd4c4d06923711c069,강서대학교,본교,서울,대학,0000079,강서대학교,2035,2035,2921958863,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-f61fc85a4b92a9cba3e5,강원도립대학교,본교,강원,전문대학,0002639,강원도립대학교,909,909,7425608277,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-e6db5927a412c860d924,거제대학교,본교,경남,전문대학,0000412,거제대학교,1256,1256,2398071944,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-06e0b195e3bd542e07ca,경남과학기술대학교,본교,경남,대학,0000035,경남과학기술대학교,4138,4138,9699124276,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-a5951ecc512b0fd64e1a,경남대학교,본교,경남,대학,0000059,경남대학교,13132,13132,4642298758,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-b8314cca38929e93aa63,경남도립거창대학,본교,경남,전문대학,0000402,경남도립거창대학,1117,1117,6597150623,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-36bbc1ce8bdf6c71cdfc,경남도립남해대학,본교,경남,전문대학,0000403,경남도립남해대학,1071,1071,4694034814,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-577e5431b1a818f1072c,경민대학교,본교,경기,전문대학,0000416,경민대학교,6353,6353,3925817430,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-46f31f833e38624aad5e,경북과학대학교,본교,경북,전문대학,0000456,경북과학대학교,1925,1925,9777717292,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-11fb6aa27021329365c8,경북도립대학교,본교,경북,전문대학,0000405,경북도립대학교,1091,1091,2756348550,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-88ecfd3e7b4dc88a858f,경북보건대학교,본교,경북,전문대학,0000438,경북보건대학교,1458,1458,2162164151,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-ef8248e4613fd652c5b8,경북전문대학교,본교,경북,전문대학,0002642,경북전문대학교,3172,3172,5197615802,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-7742e40ebecf98d1b996,경성대학교,본교,부산,대학,0000062,경성대학교,16061,16061,4552991390,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-dfd1e219731d76e99ab3,경인여자대학교,본교,인천,전문대학,0000422,경인여자대학교,4187,4187,6690823018,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-e1f9c3f377f26bde0740,경일대학교,본교,경북,대학,0000064,경일대학교,8774,8774,7082747936,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-c1e1573b05caf66f9ecd,계명문화대학교,본교,대구,전문대학,0000425,계명문화대학교,6321,6321,6783237993,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-5cb6776663f7fa2a19e3,계원예술대학교,본교,경기,전문대학,0000426,계원예술대학교,3838,3838,2279083251,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-384c7c8436241901d54c,고려대학교,본교,서울,대학,0000069,고려대학교,26684,26684,3291834950,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-e94d836f93878cb44f31,공주교육대학교,본교,충남,교육대학,0000251,공주교육대학교,1419,1419,4128983497,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-63587206fd40bc9460a2,광신대학교,본교,광주,대학,0000073,광신대학교,521,521,2040934205,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-698152ffaf2e2b780f6a,광양보건대학교,본교,전남,전문대학,0000428,광양보건대학교,141,141,5043034195,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-ae5e53097299a2bc2855,광운대학교,본교,서울,대학,0000074,광운대학교,11406,11406,2030089497,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
2023,employment-school-9203a1844029e856e6a4,광주가톨릭대학교,본교,전남,대학,0000075,광주가톨릭대학교,103,103,2627714097,academyinfo_two_year_exact_enrollment_school_context,,unresolved_signature_too_small,not_available,candidate_two_year_exact_enrollment
2023,employment-school-945bb5de9ac6e4d5c566,광주과학기술원,본교,광주,대학,0000381,광주과학기술원,1050,1050,8319158315,academyinfo_two_year_exact_enrollment_school_context,,unresolved_no_exact_signature,not_available,candidate_two_year_exact_enrollment
