employment_cohort_year,employment_reference_date_basis,comparison_interval,attribute,source_field,total_school_count,matched_attribute_school_count,missing_attribute_school_count,multi_value_school_count,attribute_school_coverage_share,total_reported_graduate_count,matched_attribute_reported_graduate_count,attribute_graduate_coverage_share,distinct_stratum_count
2010,june_1,june_1_2010_2013,school_type,school_types,513,513,0,0,1.0,539071,539071,1.0,4
2010,june_1,june_1_2010_2013,province,provinces,513,513,0,32,1.0,539071,539071,1.0,17
2011,june_1,june_1_2010_2013,school_type,school_types,543,543,0,0,1.0,559000,559000,1.0,4
2011,june_1,june_1_2010_2013,province,provinces,543,543,0,32,1.0,559000,559000,1.0,17
2012,june_1,june_1_2010_2013,school_type,school_types,543,540,3,0,0.994475138,566374,564933,0.997455745,5
2012,june_1,june_1_2010_2013,province,provinces,543,540,3,33,0.994475138,566374,564933,0.997455745,18
2013,june_1,june_1_2010_2013,school_type,school_types,537,537,0,0,1.0,555141,555141,1.0,4
2013,june_1,june_1_2010_2013,province,provinces,537,537,0,35,1.0,555141,555141,1.0,18
2014,december_31,december_31_2014_2020,school_type,school_types,552,552,0,0,1.0,557234,557234,1.0,4
2014,december_31,december_31_2014_2020,province,provinces,552,552,0,37,1.0,557234,557234,1.0,18
2015,december_31,december_31_2014_2020,school_type,school_types,554,554,0,0,1.0,576023,576023,1.0,4
2015,december_31,december_31_2014_2020,province,provinces,554,554,0,37,1.0,576023,576023,1.0,18
2016,december_31,december_31_2014_2020,school_type,school_types,557,557,0,0,1.0,580695,580695,1.0,4
2016,december_31,december_31_2014_2020,province,provinces,557,557,0,36,1.0,580695,580695,1.0,18
2017,december_31,december_31_2014_2020,school_type,school_types,552,552,0,0,1.0,574009,574009,1.0,4
2017,december_31,december_31_2014_2020,province,provinces,552,552,0,34,1.0,574009,574009,1.0,18
2018,december_31,december_31_2014_2020,school_type,school_types,544,544,0,0,1.0,555808,555808,1.0,4
2018,december_31,december_31_2014_2020,province,provinces,544,544,0,33,1.0,555808,555808,1.0,18
2019,december_31,december_31_2014_2020,school_type,school_types,537,537,0,0,1.0,550354,550354,1.0,4
2019,december_31,december_31_2014_2020,province,provinces,537,537,0,34,1.0,550354,550354,1.0,18
2020,december_31,december_31_2014_2020,school_type,school_types,537,537,0,0,1.0,553521,553521,1.0,4
2020,december_31,december_31_2014_2020,province,provinces,537,537,0,33,1.0,553521,553521,1.0,18
