attribute,stratum,employment_cohort_year,employment_source_panel_year,employment_reference_date,employment_reference_date_basis,comparison_interval,previous_comparable_cohort_year,all_available_school_count,stratum_balanced_school_count,stratum_balanced_school_coverage_share,all_available_source_record_count,stratum_balanced_source_record_count,all_available_reported_graduate_count,stratum_balanced_reported_graduate_count,stratum_balanced_graduate_coverage_share,all_available_reported_employed_count,stratum_balanced_reported_employed_count,all_available_reported_employed_share_of_graduates,stratum_balanced_reported_employed_share_of_graduates,balanced_minus_all_reported_employed_share_pp,all_available_share_change_pp_from_previous_comparable_cohort,stratum_balanced_share_change_pp_from_previous_comparable_cohort,balanced_minus_all_yoy_change_pp
province,강원,2010,2010,2010-06-01,june_1,june_1_2010_2013,,24,24,1.0,18467,18467,18467,18467,1.0,9163,9163,0.496182379,0.496182379,0.0,,,
province,강원,2011,2011,2011-06-01,june_1,june_1_2010_2013,2010,26,24,0.923076923,19419,19245,19419,19245,0.991039703,10077,9956,0.518924764,0.517329176,-0.159559,2.274238,2.11468,-0.159558
province,강원,2012,2012,2012-06-01,june_1,june_1_2010_2013,2011,26,24,0.923076923,20147,19961,20147,19961,0.990767856,10616,10483,0.526927086,0.525174089,-0.1753,0.800232,0.784491,-0.015741
province,강원,2013,2013,2013-06-01,june_1,june_1_2010_2013,2012,26,24,0.923076923,19915,19718,19915,19718,0.990107959,10382,10249,0.521315591,0.519778882,-0.153671,-0.56115,-0.539521,0.021629
province,강원,2014,2015,2014-12-31,december_31,december_31_2014_2020,,26,23,0.884615385,20185,18855,20185,18855,0.934109487,11179,10326,0.553827099,0.547653142,-0.617396,,,
province,강원,2015,2016,2015-12-31,december_31,december_31_2014_2020,2014,26,23,0.884615385,20727,19780,20727,19780,0.954310802,11427,10843,0.551309886,0.54817998,-0.312991,-0.251721,0.052684,0.304405
province,강원,2016,2017,2016-12-31,december_31,december_31_2014_2020,2015,26,23,0.884615385,20812,20373,20812,20373,0.9789064,11421,11158,0.54876994,0.547685662,-0.108428,-0.253995,-0.049432,0.204563
province,강원,2017,2018,2017-12-31,december_31,december_31_2014_2020,2016,27,23,0.851851852,20282,19925,20282,19925,0.982398186,10746,10532,0.529829405,0.528582183,-0.124722,-1.894054,-1.910348,-0.016294
province,강원,2018,2019,2018-12-31,december_31,december_31_2014_2020,2017,25,23,0.92,19082,19050,19082,19050,0.998323027,10251,10235,0.53720784,0.537270341,0.00625,0.737844,0.868816,0.130972
province,강원,2019,2020,2019-12-31,december_31,december_31_2014_2020,2018,25,23,0.92,18425,18402,18425,18402,0.998751696,9607,9597,0.521411126,0.5215194,0.010827,-1.579671,-1.575094,0.004577
province,강원,2020,2021,2020-12-31,december_31,december_31_2014_2020,2019,24,23,0.958333333,18505,18485,18505,18485,0.998919211,9537,9525,0.515374223,0.515282662,-0.009156,-0.60369,-0.623674,-0.019984
province,경기,2010,2010,2010-06-01,june_1,june_1_2010_2013,,82,81,0.987804878,73276,73271,73276,73271,0.999931765,36385,36384,0.496547301,0.496567537,0.002024,,,
province,경기,2011,2011,2011-06-01,june_1,june_1_2010_2013,2010,86,81,0.941860465,77679,76606,77679,76606,0.986186743,41060,40458,0.528585589,0.528130956,-0.045463,3.203829,3.156342,-0.047487
province,경기,2012,2012,2012-06-01,june_1,june_1_2010_2013,2011,85,81,0.952941176,79420,78439,79420,78439,0.987647948,42137,41575,0.530559053,0.530029705,-0.052935,0.197346,0.189875,-0.007471
province,경기,2013,2013,2013-06-01,june_1,june_1_2010_2013,2012,85,81,0.952941176,79780,78721,79780,78721,0.986725996,41935,41331,0.525632991,0.52503144,-0.060155,-0.492606,-0.499827,-0.007221
province,경기,2014,2015,2014-12-31,december_31,december_31_2014_2020,,87,78,0.896551724,82479,75876,82479,75876,0.919943258,45055,41260,0.54626026,0.54378196,-0.24783,,,
province,경기,2015,2016,2015-12-31,december_31,december_31_2014_2020,2014,88,78,0.886363636,83846,77670,83846,77670,0.926341149,46539,42913,0.555053312,0.552504184,-0.254913,0.879305,0.872222,-0.007083
province,경기,2016,2017,2016-12-31,december_31,december_31_2014_2020,2015,88,78,0.886363636,82217,77722,82217,77722,0.945327609,46289,43414,0.563010083,0.558580582,-0.44295,0.795677,0.60764,-0.188037
province,경기,2017,2018,2017-12-31,december_31,december_31_2014_2020,2016,86,78,0.906976744,80078,76319,80078,76319,0.953058268,44024,41712,0.54976398,0.546548042,-0.321594,-1.32461,-1.203254,0.121356
province,경기,2018,2019,2018-12-31,december_31,december_31_2014_2020,2017,86,78,0.906976744,79429,74873,79429,74873,0.942640597,43892,41015,0.552594141,0.547794265,-0.479988,0.283016,0.124622,-0.158394
province,경기,2019,2020,2019-12-31,december_31,december_31_2014_2020,2018,83,78,0.939759036,78821,73964,78821,73964,0.938379366,42524,39567,0.539500894,0.534949435,-0.455146,-1.309325,-1.284483,0.024842
province,경기,2020,2021,2020-12-31,december_31,december_31_2014_2020,2019,84,78,0.928571429,80486,75650,80486,75650,0.939915016,41441,38613,0.514884576,0.510416391,-0.446819,-2.461632,-2.453304,0.008328
province,경남,2010,2010,2010-06-01,june_1,june_1_2010_2013,,23,22,0.956521739,21350,21348,21350,21348,0.999906323,11242,11242,0.526557377,0.526606708,0.004933,,,
province,경남,2011,2011,2011-06-01,june_1,june_1_2010_2013,2010,24,22,0.916666667,21322,20576,21322,20576,0.965012663,12145,11523,0.569599475,0.560021384,-0.957809,4.30421,3.341468,-0.962742
province,경남,2012,2012,2012-06-01,june_1,june_1_2010_2013,2011,26,22,0.846153846,21957,21120,21957,21120,0.961880038,12378,11688,0.563738216,0.553409091,-1.032912,-0.586126,-0.661229,-0.075103
province,경남,2013,2013,2013-06-01,june_1,june_1_2010_2013,2012,27,22,0.814814815,21488,20646,21488,20646,0.960815339,12009,11295,0.558870067,0.547079337,-1.179073,-0.486815,-0.632975,-0.14616
