source,major_area,domn_code,dataset,advertised_years,original_field,korean_meaning,data_type,unit,missing_value_definition,definition_status
교육통계,공통,16170,학교속성,2009~2025,조사년도,조사년도,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,학교급명,학교급명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,시도명,시도명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,시군명,시군명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,학제명,학제명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,설립구분명,설립구분명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,종교단체명,종교단체명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,운영방식명,운영방식명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,고등학교운영특례명,고등학교운영특례명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,고등학교유형명,고등학교유형명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,통합구분명,통합구분명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,급식지정실시구분명,급식지정실시구분명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,입학생유형명,입학생유형명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,법인종류명,법인종류명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,설립주체명,설립주체명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,설립유형명,설립유형명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,시설환경명,시설환경명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,본교분교구분명,본교분교구분명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,교장공모제여부,교장공모제여부,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,학교설립일자,학교설립일자,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,학제유형명,학제유형명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,주야구분명,주야구분명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,급지구분명,급지구분명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,유치원소유형태명,유치원소유형태명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,지역행정구분명,지역행정구분명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,장애학생구분명,장애학생구분명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,특수지구분명,특수지구분명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,남녀공학구분명,남녀공학구분명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16170,학교속성,2009~2025,학교수,학교수,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,조사년도,조사년도,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,학제명,학제명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,시도명,시도명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,학제유형명,학제유형명,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,유초중등학교개황_전공과정여학생수,유초중등학교개황_전공과정여학생수,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,유초중등학교개황_전공과정학생수,유초중등학교개황_전공과정학생수,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,고등학교과정여학생수,고등학교과정여학생수,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,고등학교과정학생수,고등학교과정학생수,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,중학교과정여학생수,중학교과정여학생수,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,중학교과정학생수,중학교과정학생수,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,초등학교과정여학생수,초등학교과정여학생수,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,초등학교과정학생수,초등학교과정학생수,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,유초중등학교개황_유치원과정여학생수,유초중등학교개황_유치원과정여학생수,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,유초중등학교개황_유치원과정학생수,유초중등학교개황_유치원과정학생수,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,유초중등학교개황_3학년야간여학생수,유초중등학교개황_3학년야간여학생수,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,유초중등학교개황_3학년야간학생수,유초중등학교개황_3학년야간학생수,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,유초중등학교개황_2학년야간여학생수,유초중등학교개황_2학년야간여학생수,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,유초중등학교개황_2학년야간학생수,유초중등학교개황_2학년야간학생수,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,유초중등학교개황_1학년야간여학생수,유초중등학교개황_1학년야간여학생수,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,유초중등학교개황_1학년야간학생수,유초중등학교개황_1학년야간학생수,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,유초중등학교개황_3학년주간여학생수,유초중등학교개황_3학년주간여학생수,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,유초중등학교개황_3학년주간학생수,유초중등학교개황_3학년주간학생수,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,유초중등학교개황_신입원아수,유초중등학교개황_신입원아수,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,유초중등학교개황_여자신입원아수,유초중등학교개황_여자신입원아수,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,유초중등학교개황_기타교사용도면적,유초중등학교개황_기타교사용도면적,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,유초중등학교개황_관리지원공간면적,유초중등학교개황_관리지원공간면적,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
교육통계,공통,16171,유초중등학교개황,2009~2025,유초중등학교개황_교수학습공간면적,유초중등학교개황_교수학습공간면적,원본 파일 확인 필요,원본 파일·설명서 확인 필요,원본 파일·설명서 확인 필요,공식 목록의 항목명만 확인; 의미·형식·단위 미확정
