source,domn_code,dataset,advertised_years,status,archive_count,size_bytes,errors
고등교육통계,16918,고등교육학교개황,2009~2025,downloaded,1,1100924,
고등교육통계,16919,대학교개황,2009~2025,downloaded,1,416056,
고등교육통계,16920,대학교학생개황,2009~2025,downloaded,1,10078176,
고등교육통계,16921,대학원개황,2009~2025,downloaded,1,924125,
고등교육통계,16922,대학원학생개황,2009~2025,downloaded,1,3089116,
고등교육통계,16923,전문대학개황,2009~2025,downloaded,1,219235,
고등교육통계,16924,전문대학학생개황,2009~2025,downloaded,1,4336445,
고등교육통계,11398,계열별입학정원현황_대학원,2009~2025,downloaded,1,439238,
고등교육통계,11595,교육대학대학원학급편성기준,2009~2013,downloaded,1,6097,
고등교육통계,11221,국가별외국인유학생현황,2009~2013,downloaded,1,235071,
고등교육통계,11222,국가별외국인유학생현황,2014~2022,downloaded,1,2474048,
고등교육통계,16948,국가별외국인유학생현황_대학원,2009~2013,downloaded,1,245841,
고등교육통계,16950,모집및입학정원현황,2014~2025,downloaded,1,4423053,
고등교육통계,11429,박사및명예박사학위수여상황,2009~2025,downloaded,1,4026198,
고등교육통계,11150,산업체위탁생제적현황,2009~2013,downloaded,1,4528302,
고등교육통계,11159,시간제등록과정,2009~2025,downloaded,1,289143,
고등교육통계,16952,연령별신입생현황_대학원,2009~2025,downloaded,1,115548629,
고등교육통계,16954,연령별입학현황,2009~2025,downloaded,1,38172402,
고등교육통계,11367,연령별재적학생현황,2009~2025,downloaded,1,48539444,
고등교육통계,16955,연령별재적학생현황_대학원,2009~2025,downloaded,1,26059853,
고등교육통계,16956,연령별재적학생현황_대학원_공동운영,2010~2013,downloaded,1,1843,
고등교육통계,11101,연령별졸업생현황,2009~2025,downloaded,1,41879387,
고등교육통계,16957,연령별졸업생현황_공동운영,2010~2022,downloaded,1,14258935,
고등교육통계,16958,연령별졸업생현황_대학원,2009~2025,downloaded,1,23004906,
고등교육통계,16959,연령별편입생현황,2009~2025,downloaded,1,2591782,
고등교육통계,16960,외국인학위취득현황_대학원_공동운영,2010~2022,downloaded,1,3054357,
고등교육통계,16961,유학형태별_외국인유학생현황,2009~2013,downloaded,1,113281,
고등교육통계,16930,유학형태별_외국인유학생현황,2014~2022,downloaded,1,564972,
고등교육통계,16962,장학금급여및학비감면현황,2009~2013,downloaded,1,6850443,
고등교육통계,16963,재적학생현황_대학원,2009~2025,downloaded,1,8595846,
고등교육통계,16964,재적학생현황_대학원_공동운영,2010~2023,downloaded,1,61236,
고등교육통계,16965,재적학생현황_정원외전형별,2009~2013,downloaded,1,10130731,
고등교육통계,16931,재적학생현황_정원외전형별,2014~2022,downloaded,1,4447323,
고등교육통계,16966,재적학생현황_학과별정원내,2009~2013,downloaded,1,2237330,
고등교육통계,16932,재적학생현황_학과별정원내,2014~2022,downloaded,1,2458751,
고등교육통계,16967,재적학생현황_학과별정원외,2009~2013,downloaded,1,1183125,
고등교육통계,16933,재적학생현황_학과별정원외,2014~2022,downloaded,1,1768534,
고등교육통계,16968,재학생해외연수일반현황,2009~2025,downloaded,1,143452,
고등교육통계,16969,전문대학_자격증취득현황,2009~2022,downloaded,1,202057,
고등교육통계,16970,졸업후상황,2009~2022,downloaded,1,58982530,
고등교육통계,16971,졸업후상황_공동운영,2010~2013,downloaded,1,1105547,
고등교육통계,16934,졸업후상황_공동운영,2014~2025,downloaded,1,79216,
고등교육통계,16972,지원자및입학현황,2009~2025,downloaded,1,220622641,
고등교육통계,16973,지원자및입학현황_대학원,2009~2013,downloaded,1,3599403,
고등교육통계,16935,지원자및입학현황_대학원,2014~2025,downloaded,1,7887669,
고등교육통계,16974,직업별신입및편입생현황,2009~2022,downloaded,1,211508,
고등교육통계,16975,직업별학생현황_방송통신대,2009~2022,downloaded,1,81162,
고등교육통계,16976,학과별외국인유학생현황,2010~2013,downloaded,1,643239,
고등교육통계,16936,학과별외국인유학생현황,2014~2022,downloaded,1,1347063,
고등교육통계,16977,학과별외국인유학생현황_대학원,2010~2013,downloaded,1,460544,
고등교육통계,16937,학과별외국인유학생현황_대학원,2014~2022,downloaded,1,684643,
고등교육통계,16978,학교본분교현황,2009~2025,downloaded,1,203961,
고등교육통계,16979,학교재적학생현황,2009~2013,downloaded,1,5370208,
고등교육통계,16938,학교재적학생현황,2014~2025,downloaded,1,12824074,
고등교육통계,16980,학년별재적학생현황_공동운영,2010~2013,downloaded,1,87423,
고등교육통계,16981,학부편제정원및재학생현황_일반및산업대학,2009~2013,downloaded,1,61381,
고등교육통계,16982,학생동태현황_제적사유별,2011~2022,downloaded,1,66987231,
고등교육통계,16983,학생동태현황_제적사유별_대학원,2011~2022,downloaded,1,30032748,
고등교육통계,16984,학생변동상황,2009~2013,downloaded,1,2343128,
고등교육통계,16939,학생변동상황,2014~2022,downloaded,1,3374821,
고등교육통계,16985,학생변동상황_대학원,2009~2013,downloaded,1,3438037,
고등교육통계,16942,학생변동상황_대학원,2014~2022,downloaded,1,2923627,
고등교육통계,16986,학생제적현황_제적사유별,2014~2025,downloaded,1,10804689,
고등교육통계,16987,학생제적현황_제적사유별_대학원,2014~2025,downloaded,1,5483001,
고등교육통계,16988,학생편제정원현황_대학원,2009~2013,downloaded,1,268154,
고등교육통계,16940,학생편제정원현황_대학원,2014~2025,downloaded,1,2384343,
고등교육통계,16989,산학협동과정입학정원현황_대학원,2009~2025,downloaded,1,214311,
고등교육통계,16990,학위취득및취득후상황_대학원,2009~2013,downloaded,1,3710909,
고등교육통계,16941,학위취득및취득후상황_대학원,2014~2022,downloaded,1,2856863,
고등교육통계,16991,학위취득상황_대학원_공동운영,2010~2025,downloaded,1,3972779,
고등교육통계,11601,총원장및전임교원현황,2009~2013,downloaded,1,16802174,
고등교육통계,11602,총원장및전임교원현황,2014~2025,downloaded,1,37284147,
고등교육통계,11689,겸임및초빙교원현황,2009~2013,downloaded,1,3453763,
고등교육통계,11690,겸임및초빙교원현황,2014~2025,downloaded,1,8515985,
고등교육통계,11731,기타교원현황,2009~2013,downloaded,1,1450447,
고등교육통계,11732,기타교원현황,2014~2022,downloaded,1,6439803,
고등교육통계,11767,재직교원정현원현황,2014~2022,downloaded,1,763237,
