_panel_year,_school_identity_key,edss_school_name,edss_school_kind,edss_province,edss_branch,name_context_status,target_department_count,context_candidate_count,overlap_candidate_count,top_candidate_open_id,candidate_signature_year,candidate_open_id,candidate_method,confidence_tier,resolution_status,score,score_margin,department_intersection_count,department_union_count,department_jaccard,target_department_coverage,candidate_department_coverage,academyinfo_department_jaccard,academyinfo_day_night_jaccard,cross_panel_department_jaccard,cross_year_group_key,cross_year_consistent,year_conflict_excluded,reverse_collision_excluded,evidence_sources,canonical_open_id_imputed
2023,employment-school-c2332ea272829180fedb,가야대학교일반대학원,일반대학원,경남,본교,candidate_unique_name_context,1,10,1,7756780624,2023,7756780624,unique_exact_small_department_set_with_context,strong,candidate_strong_exact_small_signature,0.866667,0.866667,1,1,1.000000,1.000000,1.000000,0.333333,0.333333,1.000000,가야대학교일반대학원|일반대학원|경남|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-84b1cbb269407adcdb20,가천대학교 일반대학원,일반대학원,경기,본교,candidate_unique_name_context,48,37,33,8810827076,2023,8810827076,unique_exact_kind_year_region_branch_department_set,high,candidate_high_exact_context,0.894118,0.606376,48,48,1.000000,1.000000,1.000000,0.470588,0.470588,1.000000,가천대학교일반대학원|일반대학원|경기|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-661d383452934e35abad,가톨릭관동대학교 일반대학원,일반대학원,강원,본교,candidate_unique_name_context,21,6,6,4035072386,2023,4035072386,unique_exact_kind_year_region_branch_department_set,high,candidate_high_exact_context,0.885714,0.616577,21,21,1.000000,1.000000,1.000000,0.428571,0.428571,1.000000,가톨릭관동대학교일반대학원|일반대학원|강원|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-09533c15bfe1fbdbd4bb,가톨릭대학교 일반대학원,일반대학원,서울,캠퍼스,candidate_unique_name_context,5,0,0,,,,,unresolved,unresolved_no_department_overlap,,,,,,,,,,,가톨릭대학교일반대학원|일반대학원|서울|캠퍼스,inconclusive,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-cb2efcb2b2f878830ee4,가톨릭대학교 일반대학원,일반대학원,서울,캠퍼스1,candidate_unique_name_context,1,0,0,,,,,unresolved,unresolved_no_department_overlap,,,,,,,,,,,가톨릭대학교일반대학원|일반대학원|서울|캠퍼스1,inconclusive,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-a0316d716e5832cffe0e,가톨릭대학교대학원,일반대학원,경기,본교,candidate_unique_name_context,22,37,31,3736957192,2023,3736957192,calibrated_multisource_rank_kind_year_region_branch,strong,candidate_strong_calibrated_multisource,0.765162,0.480330,22,28,0.785714,1.000000,0.785714,0.415094,0.415094,1.000000,가톨릭대학교대학원|일반대학원|경기|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-f43a7328284dd14e17c2,감리교신학대학교대학원,일반대학원,서울,본교,candidate_unique_name_context,1,42,11,1971639871,2023,1971639871,unique_exact_small_department_set_with_context,strong,candidate_strong_exact_small_signature,0.900000,0.308333,1,1,1.000000,1.000000,1.000000,0.500000,0.500000,1.000000,감리교신학대학교대학원|일반대학원|서울|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-455dd3cd6dbe43919af8,강남대학교대학원,일반대학원,경기,본교,candidate_unique_name_context,8,37,23,3989555835,2023,3989555835,unique_exact_kind_year_region_branch_department_set,high,candidate_high_exact_context,0.900000,0.615441,8,8,1.000000,1.000000,1.000000,0.500000,0.500000,1.000000,강남대학교대학원|일반대학원|경기|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-b2e64321031ff47da655,강릉원주대학교대학원,일반대학원,강원,본교,unmatched_name_context,31,0,0,,,,,unresolved,unresolved_name_context,,,,,,,,,,,강릉원주대학교대학원|일반대학원|강원|본교,not_tested_single_year,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-cdc718539ce5640e4f79,강릉원주대학교대학원,일반대학원,강원,캠퍼스,unmatched_name_context,7,0,0,,,,,unresolved,unresolved_name_context,,,,,,,,,,,강릉원주대학교대학원|일반대학원|강원|캠퍼스,not_tested_single_year,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-f98ad3e802a70ee36482,강서대학교 일반대학원,일반대학원,서울,본교,candidate_unique_name_context,3,42,13,8083013415,2023,8083013415,unique_exact_kind_year_region_branch_department_set,high,candidate_high_exact_context,0.876786,0.514881,3,3,1.000000,1.000000,1.000000,0.428571,0.250000,1.000000,강서대학교일반대학원|일반대학원|서울|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-2d2bb58053dc0c1c8814,강원대학교일반대학원,일반대학원,강원,본교,candidate_unique_name_context,105,6,6,2172015368,2023,2172015368,unique_exact_kind_year_region_branch_department_set,high,candidate_high_exact_context,0.892147,0.657591,105,105,1.000000,1.000000,1.000000,0.474886,0.474886,0.971698,강원대학교일반대학원|일반대학원|강원|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-d02a63b2b1e9da6602c7,건국대학교 일반대학원,일반대학원,충북,분교,unmatched_name_context,23,0,0,,,,,unresolved,unresolved_name_context,,,,,,,,,,,건국대학교일반대학원|일반대학원|충북|분교,inconclusive,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-06fb40a5323ed92f35c8,건국대학교일반대학원,일반대학원,서울,본교,candidate_unique_name_context,90,42,36,8120602428,2023,8120602428,calibrated_multisource_rank_kind_year_region_branch,strong,candidate_strong_calibrated_multisource,0.780294,0.530766,90,111,0.810811,1.000000,0.810811,0.421739,0.421739,1.000000,건국대학교일반대학원|일반대학원|서울|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-4f8441409a6c5591de05,건양대학교 일반대학원,일반대학원,대전,캠퍼스,candidate_unique_name_context,13,0,0,,,,,unresolved,unresolved_no_department_overlap,,,,,,,,,,,건양대학교일반대학원|일반대학원|대전|캠퍼스,inconclusive,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-1d72237df8b261ae828f,경기대학교 일반대학원,일반대학원,서울,본교,candidate_unique_name_context,57,42,38,7891201674,2023,7891201674,unique_exact_kind_year_region_branch_department_set,high,candidate_high_exact_context,0.896610,0.636054,57,57,1.000000,1.000000,1.000000,0.483051,0.483051,1.000000,경기대학교일반대학원|일반대학원|서울|본교,not_tested_single_year,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-36788ad6148410719976,경남과학기술대학교 대학원,일반대학원,경남,본교,candidate_unique_name_context,21,10,7,6709524989,2023,6709524989,unique_exact_kind_year_region_branch_department_set,high,candidate_high_exact_context,0.923529,0.732248,21,21,1.000000,1.000000,1.000000,0.617647,0.617647,1.000000,경남과학기술대학교대학원|일반대학원|경남|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-a98be5b19cc610e276d7,경남대학교대학원,일반대학원,경남,본교,candidate_unique_name_context,20,10,7,4012936115,2023,4012936115,unique_exact_kind_year_region_branch_department_set,high,candidate_high_exact_context,0.855556,0.613798,20,20,1.000000,1.000000,1.000000,0.277778,0.277778,1.000000,경남대학교대학원|일반대학원|경남|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-bad6a16c14a4ba6508c5,경북대학교 일반대학원,일반대학원,대구,본교,candidate_unique_name_context,122,5,4,7034050822,2023,7034050822,unique_exact_kind_year_region_branch_department_set,high,candidate_high_exact_context,0.897600,0.661270,122,122,1.000000,1.000000,1.000000,0.488000,0.488000,1.000000,경북대학교일반대학원|일반대학원|대구|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-1cca71a51e564feb1b3f,경상국립대학교 대학원,일반대학원,경남,본교,candidate_unique_name_context,87,10,8,4858217120,2023,4858217120,unique_exact_kind_year_region_branch_department_set,high,candidate_high_exact_context,0.878775,0.599874,87,87,1.000000,1.000000,1.000000,0.395455,0.389140,1.000000,경상국립대학교대학원|일반대학원|경남|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-e5e1ec2b32aa616553c3,경성대학교 일반대학원,일반대학원,부산,본교,candidate_unique_name_context,36,14,14,6161168277,2023,6161168277,unique_exact_kind_year_region_branch_department_set,high,candidate_high_exact_context,0.883333,0.637570,36,36,1.000000,1.000000,1.000000,0.416667,0.416667,1.000000,경성대학교일반대학원|일반대학원|부산|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-801fc2d9a190adaff769,경운대학교 일반대학원,일반대학원,경북,본교,candidate_unique_name_context,10,18,8,5360989689,2023,5360989689,unique_exact_kind_year_region_branch_department_set,high,candidate_high_exact_context,0.886957,0.644457,10,10,1.000000,1.000000,1.000000,0.434783,0.434783,1.000000,경운대학교일반대학원|일반대학원|경북|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-9c3bba80d44c0707a5d5,경일대학교 일반대학원,일반대학원,경북,본교,candidate_unique_name_context,18,18,11,5198851764,2023,5198851764,unique_exact_kind_year_region_branch_department_set,high,candidate_high_exact_context,0.877143,0.627030,18,18,1.000000,1.000000,1.000000,0.514286,0.000000,1.000000,경일대학교일반대학원|일반대학원|경북|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-69aec49f215db0d638d9,경주대학교일반대학원,일반대학원,경북,본교,unmatched_name_context,2,0,0,,,,,unresolved,unresolved_name_context,,,,,,,,,,,경주대학교일반대학원|일반대학원|경북|본교,not_tested_single_year,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-ec68fc829c37733ca078,경희대학교대학원,일반대학원,서울,본교,candidate_unique_name_context,99,42,38,6299731194,2023,6299731194,unique_exact_kind_year_region_branch_department_set,high,candidate_high_exact_context,0.921472,0.662507,99,99,1.000000,1.000000,1.000000,0.607362,0.607362,1.000000,경희대학교대학원|일반대학원|서울|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-66615e749e45a2632f52,계명대학교 대학원,일반대학원,대구,본교,candidate_unique_name_context,57,5,4,6471747696,2023,6471747696,unique_exact_kind_year_region_branch_department_set,high,candidate_high_exact_context,0.928090,0.624688,57,57,1.000000,1.000000,1.000000,0.640449,0.640449,1.000000,계명대학교대학원|일반대학원|대구|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-ccfad40f2c2531d1e16e,고려대학교 대학원,일반대학원,서울,본교,candidate_unique_name_context,83,42,35,1178646385,2023,1178646385,calibrated_multisource_rank_kind_year_region_branch,strong,candidate_strong_calibrated_multisource,0.777609,0.515379,83,111,0.747748,1.000000,0.747748,0.584507,0.573427,1.000000,고려대학교대학원|일반대학원|서울|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-0d64b5bdf83ce029d380,고려대학교 일반대학원,일반대학원,세종,분교,unmatched_name_context,28,0,0,,,,,unresolved,unresolved_name_context,,,,,,,,,,,고려대학교일반대학원|일반대학원|세종|분교,inconclusive,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-a311891e9c8d838db16a,고신대학교 대학원,일반대학원,부산,본교,candidate_unique_name_context,8,14,11,9213720619,2023,9213720619,unique_exact_kind_year_region_branch_department_set,high,candidate_high_exact_context,0.945455,0.712399,8,8,1.000000,1.000000,1.000000,0.727273,0.727273,1.000000,고신대학교대학원|일반대학원|부산|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-191c16fbd5e259a522f2,공주대학교대학원,일반대학원,충남,본교,unmatched_name_context,85,0,0,,,,,unresolved,unresolved_name_context,,,,,,,,,,,공주대학교대학원|일반대학원|충남|본교,not_tested_single_year,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-d511140fffcaf70ae31d,광신대학교대학원,일반대학원,광주,본교,candidate_unique_name_context,8,9,8,3344922840,2023,3344922840,unique_exact_kind_year_region_branch_department_set,high,candidate_high_exact_context,0.914286,0.712500,8,8,1.000000,1.000000,1.000000,0.571429,0.571429,1.000000,광신대학교대학원|일반대학원|광주|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-68f3892200f9bda49687,광운대학교대학원,일반대학원,서울,본교,candidate_unique_name_context,38,42,30,2749038994,2023,2749038994,unique_exact_kind_year_region_branch_department_set,high,candidate_high_exact_context,0.920635,0.668653,38,38,1.000000,1.000000,1.000000,0.603175,0.603175,1.000000,광운대학교대학원|일반대학원|서울|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
2023,employment-school-d8045d3946695066c998,광주가톨릭대학교대학원,일반대학원,전남,본교,candidate_unique_name_context,1,8,1,6627857089,2023,6627857089,unique_exact_small_department_set_with_context,strong,candidate_strong_exact_small_signature,0.900000,0.900000,1,1,1.000000,1.000000,1.000000,0.500000,0.500000,1.000000,광주가톨릭대학교대학원|일반대학원|전남|본교,true,false,false,EDSS employment 2023-2024|EDSS 0402-0404|EDSS 0101 bridge|EDSS 0104|AcademyInfo 2025,false
