year,open_id,classification,base_first_year,base_last_year,nearest_base_year_before,nearest_base_year_after,base_school_types,base_regions,base_branch_types,orphan_school_types,dataset_count,datasets,dataset_orphan_key_occurrences,affected_row_count
2009,1508433640,before_base_first_seen,2010,2025,,2010,전문대학,강원,본교|본교(제1캠퍼스),전문대학,8,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0601 국내외학술지게재논문실적|0714 등록금현황|1014 연구비수혜실적|1016 장학금수혜현황|1207 기숙사수용현황,8,84
2009,1651128768,before_base_first_seen,2010,2010,,2010,전문대학,충북,본교,전문대학,8,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0601 국내외학술지게재논문실적|0714 등록금현황|1014 연구비수혜실적|1016 장학금수혜현황|1207 기숙사수용현황,8,68
2009,1674881875,before_base_first_seen,2010,2012,,2010,전문대학,전북,본교,전문대학,7,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0601 국내외학술지게재논문실적|0714 등록금현황|1016 장학금수혜현황|1207 기숙사수용현황,7,67
2009,2043681859,before_base_first_seen,2010,2025,,2010,전문대학,강원,본교|본교(제1캠퍼스),전문대학,8,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0601 국내외학술지게재논문실적|0714 등록금현황|1014 연구비수혜실적|1016 장학금수혜현황|1207 기숙사수용현황,8,16
2009,2097534179,before_base_first_seen,2010,2025,,2010,대학,서울,본교|본교(제1캠퍼스)|본교(제2캠퍼스)|제2캠퍼스,대학,9,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0502 전체교원대비전임교원현황|0503 전임교원1인당학생현황|0714 등록금현황|1014 연구비수혜실적|1016 장학금수혜현황|1207 기숙사수용현황,9,368
2009,2151358604,before_base_first_seen,2010,2025,,2010,전문대학,충남,본교|본교(제1캠퍼스),전문대학,8,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0601 국내외학술지게재논문실적|0714 등록금현황|1014 연구비수혜실적|1016 장학금수혜현황|1207 기숙사수용현황,8,68
2009,2593522906,before_base_first_seen,2010,2025,,2010,전문대학,경기,본교|본교(제1캠퍼스),전문대학,8,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0601 국내외학술지게재논문실적|0714 등록금현황|1014 연구비수혜실적|1016 장학금수혜현황|1207 기숙사수용현황,8,94
2009,2731287598,before_base_first_seen,2010,2025,,2010,전문대학,충남,본교|본교(제1캠퍼스),전문대학,8,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0601 국내외학술지게재논문실적|0714 등록금현황|1014 연구비수혜실적|1016 장학금수혜현황|1207 기숙사수용현황,8,58
2009,3313704609,before_base_first_seen,2010,2025,,2010,전문대학,경북,본교|본교(제1캠퍼스),전문대학,8,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0601 국내외학술지게재논문실적|0714 등록금현황|1014 연구비수혜실적|1016 장학금수혜현황|1207 기숙사수용현황,8,87
2009,3403399288,before_base_first_seen,2010,2025,,2010,전문대학,경남,본교|본교(제1캠퍼스),전문대학,8,0305 신입생충원현황|0310 재적학생현황|0316 중도탈락학생현황|0601 국내외학술지게재논문실적|0714 등록금현황|1014 연구비수혜실적|1016 장학금수혜현황|1207 기숙사수용현황,8,87
