source,catalog_code,dataset,field_position,original_field_name,korean_meaning,storage_type,observed_value_type,unit,missing_value_definition,observed_missing_tokens,first_year,last_year,identifier_role
고등교육통계,0101,고등교육학교개황,1,조사년도,조사년도,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,candidate
고등교육통계,0101,고등교육학교개황,2,학교구분명,학교구분명,string,string,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,candidate
고등교육통계,0101,고등교육학교개황,3,개방ID,개방ID,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,candidate
고등교육통계,0101,고등교육학교개황,4,시도명,시도명,string,string,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,candidate
고등교육통계,0101,고등교육학교개황,5,지역명,지역명,string,string,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,candidate
고등교육통계,0101,고등교육학교개황,6,본분교명,본분교명,string,string,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,candidate
고등교육통계,0101,고등교육학교개황,7,학제유형명,학제유형명,string,string,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,8,학사심화과정2학년재적학생수,학사심화과정2학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,9,학사심화과정1학년재적여학생수,학사심화과정1학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,10,학사심화과정1학년재적학생수,학사심화과정1학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,11,학사심화과정재적여학생수,학사심화과정재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,12,학사심화과정재적학생수,학사심화과정재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,13,6학년재적여학생수,6학년재적여학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
고등교육통계,0101,고등교육학교개황,14,6학년재적학생수,6학년재적학생수,string,integer-like,공식 정의 미확인,원본 공란·기호의 의미는 공식 설명서 확인 필요,[],2009,2025,
