review_order,open_id,first_year,last_0101_year,year_count,latest_any_panel_year,identity_status,manual_classification,likely_entity_candidate,candidate_status,candidate_evidence_years,candidate_kedi_statuses,latest_panel_count,latest_row_count,latest_nonzero_measure_count,latest_department_status,department_examples,safe_join_action,evidence_summary
1,2118588984,2009,2022,14,2025,unmatched,confirmed_identity_closed_school_residual_id,인하대학교정보통신대학원,confirmed_final_manual_review_identity,2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022,폐교|2019~2021 반복 KEDI 후보|2010 공식 운영자료,2,24,0,폐과,정보통신공학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,최종 수동검토에서 인하대학교정보통신대학원으로 확정했다. 2019~2021년 동일 KEDI 폐교 후보가 반복되고 2025년 잔존 정보통신공학과는 폐과다. 인하대학교 공식 등록금 회계자료도 정보통신대학원의 운영을 확인한다. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
2,3194591462,2009,2022,14,2025,unmatched,confirmed_identity_closed_school_residual_id,남부대학교 보건대학원,confirmed_final_manual_review_identity,2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022,폐교|2009·2011 반복 KEDI 후보,2,96,0,폐과,간호학과|동양대체요법학과|방사선학과|보건행정학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,최종 수동검토에서 남부대학교 보건대학원으로 확정했다. 2009년과 2011년 동일 KEDI 폐교 후보가 반복되고 간호학과·동양대체요법학과·방사선학과·보건행정학과가 모두 보건계열이며 후속 패널에서 폐과다. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
3,9130622029,2009,2022,14,2022,unmatched,confirmed_identity_closed_school_residual_id,대불대학교산업기술대학원|세한대학교산업기술대학원,confirmed_location_closed_status_departments_and_official_name_history,2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022,폐교|2012 대불대학교→세한대학교 교명변경,9,34,6,표지 없음,건축토목도시공학전공|레저스포츠산업학과|산업디자인학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,"2009~2022년 EDSS의 전남 영암군 야간 대학원 행이다. 0101의 입학·재적·졸업·교직원·학과 수는 전 기간 0이고, 2022년 비영 값 6개는 학교수 계열 집계 표시뿐이다. 산업디자인학과·레저스포츠산업학과·건축토목도시공학전공은 대학정보공시에서 모두 폐과다. 같은 위치 KEDI에는 2009~2012년 대불대학교산업기술대학원, 2013년 이후 세한대학교산업기술대학원이 야간 특수대학원 폐교 행으로 존재한다. 세한대학교 공식 연혁은 1997년 산업기술대학원 개원과 2012년 대불대학교→세한대학교 교명변경을 확인한다. 학교명은 확정하되 다른 대학원 OpenID와 자동 조인하지 않는다."
4,7470429599,2009,2020,11,2022,unmatched,confirmed_identity_closed_name_change_predecessor_id,신라대학교 국제경영대학원,confirmed_final_manual_review_identity,2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,폐교|2009·2017 반복 KEDI 후보|공식 명칭변경 이력,3,33,0,폐과,MBA과정,retain_predecessor_open_id_separately_no_auto_join,최종 수동검토에서 신라대학교 국제경영대학원으로 확정했다. 2009년과 2017년 동일 KEDI 폐교 후보가 반복되고 MBA과정 학과서명이 부합한다. 신라대학교 공식 연혁은 경영대학원을 국제경영대학원으로 바꾼 이력을 확인한다. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
5,4080095410,2009,2018,10,2019,unmatched,confirmed_identity_closed_name_change_predecessor_id,동국대학교 영상정보통신대학원,confirmed_final_manual_review_identity,2009|2010|2011|2012|2013|2014|2015|2016|2017|2018,폐교|2009 KEDI 후보|2005 영상대학원으로 명칭변경,1,6,0,폐과,네트워크관리학과,retain_predecessor_open_id_separately_no_auto_join,최종 수동검토에서 동국대학교 영상정보통신대학원으로 확정했다. 2009년 KEDI 폐교 후보와 네트워크관리학과가 일치한다. 동국대학교 공식 연혁은 영상정보통신대학원 운영과 2005년 영상대학원 명칭변경 및 네트워크관리학과 폐지를 직접 명시한다. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
6,3999929010,2009,2017,9,2025,unmatched,confirmed_identity_institution_type_conversion_predecessor_id,구세군사관학교,confirmed_longitudinal_metrics_and_official_type_conversion,2009|2010|2011|2012|2013|2014|2015|2016|2017,기존|폐교|2015~ 전문→대학원대학,1,9,9,표지 없음,기타(소속학과없음)|소속학과없음|신학과,link_successor_open_id_6883983910_keep_type_specific_metrics_separate,"경기 과천시의 각종학교(전문대학과정)로 신학과 1개를 둔 행이다. 2009~2013년 입학·재적·졸업·성별·교원 값이 KEDI 구세군사관학교와 연속적으로 일치하고, 2015년 졸업생 14명과 2016년 졸업생 9명도 KEDI 폐교 잔존행과 일치한다. 대학알리미 통폐합 현황은 2015년부터 구세군사관학교→구세군사관대학원대학교, 전문→대학원대학 전환으로 명시한다. 후속 OpenID 6883983910과 전환 이력만 연결하고, 전환기 중첩 행은 학제별로 분리 보존한다."
7,7579953312,2009,2017,9,2017,unmatched,confirmed_identity_closed_school_residual_id,인천가톨릭대학교 조형대학원,confirmed_manual_reviewed_kedi_identity,2009|2010|2011|2012|2013|2014|2015|2016|2017,수동검토확정|KEDI·학과·공식이력 교차검증,7,41,2,기존|폐과,문화예술기획전공|전시디자인전공,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,수동 전수검토에서 인천가톨릭대학교 조형대학원으로 확정했다. KEDI 인천가톨릭대학교 특수대학원의 본교→제2캠퍼스 및 신설→폐교 흐름이 일치하고 대학 공식 안내가 고유 명칭을 조형대학원으로 명시. KEDI 범주명과 대학 공식 고유 명칭을 함께 기록. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
8,1751584470,2009,2016,8,2016,unmatched,confirmed_identity_closed_school_residual_id,한세대학교목회대학원,confirmed_manual_reviewed_kedi_identity,2009|2010|2011|2012|2013|2014|2015|2016,수동검토확정|KEDI·학과·공식이력 교차검증,8,80,6,표지 없음,신학과(목회학박사),retain_closed_graduate_school_open_id_separately_no_successor_auto_join,수동 전수검토에서 한세대학교목회대학원으로 확정했다. KEDI 동일 대학원 폐교 행이 8개 연도 모두 위치·캠퍼스·핵심값과 일치. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
9,9206062912,2009,2016,8,2016,unmatched,confirmed_identity_closed_school_residual_id,동아대학교 언론홍보대학원,confirmed_final_manual_review_identity,2009|2010|2011|2012|2013|2014|2015|2016,폐교|2011 KEDI 후보|2008 폐지,6,25,6,표지 없음,광고홍보학과|신문방송학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,최종 수동검토에서 동아대학교 언론홍보대학원으로 확정했다. 2011년 KEDI 폐교 후보와 광고홍보학과·신문방송학과 조합이 일치한다. 동아대학교 공식 연혁은 언론홍보대학원과 두 학과가 2008년 폐지되었음을 확인한다. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
10,2545302689,2009,2015,7,2022,unmatched,confirmed_identity_closed_school_residual_id,신라대학교 조형대학원,confirmed_final_manual_review_identity,2009|2010|2011|2012|2013|2014|2015,폐교|2009 KEDI 후보|공식 폐지 이력,3,57,0,폐과,산업공예디자인학과|조형예술학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,최종 수동검토에서 신라대학교 조형대학원으로 확정했다. 2009년 KEDI 폐교 후보와 산업공예디자인학과·조형예술학과 조합이 일치한다. 신라대학교 공식 연혁은 조형대학원 폐지를 확인한다. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
11,2832937419,2009,2015,7,2021,unmatched,confirmed_identity_closed_school_residual_id,동덕여자대학교 미용보건대학원,confirmed_manual_reviewed_kedi_identity,2009|2010|2011|2012|2013|2014|2015,수동검토확정|KEDI·학과·공식이력 교차검증,3,33,0,폐과,미용보건학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,수동 전수검토에서 동덕여자대학교 미용보건대학원으로 확정했다. KEDI 폐교 행의 7개 연도 핵심값이 전부 일치하고 대학 공식 조직·연혁의 미용보건학과 계보가 부합. 후속 보건과학대학원과 자동 병합하지 않음. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
12,3042672216,2009,2015,7,2015,unmatched,confirmed_identity_closed_name_change_predecessor_id,동덕여자대학교 비만과학대학원,confirmed_final_manual_review_identity,2009|2010|2011|2012|2013|2014|2015,폐교|2009 KEDI 후보|공식 설립·후속 명칭변경 이력,6,160,6,표지 없음,비만관리학과,retain_predecessor_open_id_separately_no_auto_join,최종 수동검토에서 동덕여자대학교 비만과학대학원으로 확정했다. 2009년 KEDI 폐교 후보와 비만관리학과가 일치한다. 동덕여자대학교 공식 연혁은 비만과학대학원 설립과 후속 대학원 명칭변경 계보를 확인한다. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
13,6131698310,2009,2015,7,2015,unmatched,confirmed_identity_closed_school_residual_id,백석대학교 정보기술대학원,confirmed_manual_reviewed_kedi_identity,2009|2010|2011|2012|2013|2014|2015,수동검토확정|KEDI·학과·공식이력 교차검증,6,56,6,표지 없음,컴퓨터학전공,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,수동 전수검토에서 백석대학교 정보기술대학원으로 확정했다. KEDI의 문헌정보대학원·정보기술대학원 0행 중 컴퓨터학전공이 정보기술대학원을 유일하게 지시하고 문헌정보대학원은 별도 OpenID로 확인됨. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
14,6159198999,2009,2015,7,2015,unmatched,confirmed_identity_closed_school_residual_id,가야대학교세라믹국제정보대학원,confirmed_manual_reviewed_kedi_identity,2009|2010|2011|2012|2013|2014|2015,수동검토확정|KEDI·학과·공식이력 교차검증,6,56,7,기존,국제통상학전공|세라믹디자인|세라믹재료공학,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,수동 전수검토에서 가야대학교세라믹국제정보대학원으로 확정했다. KEDI 동일 대학원 행이 2009-2015 위치·캠퍼스·핵심값과 일치하며 2014년 이후 폐교 표시. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
