open_id,confirmed_entity_name,decision_bucket,manual_classification,evidence_window,evidence_tier,kedi_statuses,official_source_url,safe_join_action,evidence_summary
2118588984,인하대학교정보통신대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2009-2022,official_and_repeated_kedi_candidate,폐교|2019~2021 반복 KEDI 후보|2010 공식 운영자료,https://extranet.inha.ac.kr/download/%EB%93%B1%EB%A1%9D%EA%B8%88%ED%9A%8C%EA%B3%84.pdf,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,"2019~2021년 동일 KEDI 폐교 후보가 반복되고 2025년 잔존 정보통신공학과는 폐과다. 인하대학교 공식 등록금 회계자료도 정보통신대학원의 운영을 확인한다."
3194591462,남부대학교 보건대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2009-2022,repeated_kedi_and_department_context,폐교|2009·2011 반복 KEDI 후보,,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,"2009년과 2011년 동일 KEDI 폐교 후보가 반복되고 간호학과·동양대체요법학과·방사선학과·보건행정학과가 모두 보건계열이며 후속 패널에서 폐과다."
7470429599,신라대학교 국제경영대학원,ready_to_record,confirmed_identity_closed_name_change_predecessor_id,2009-2020,official_and_repeated_kedi_candidate,폐교|2009·2017 반복 KEDI 후보|공식 명칭변경 이력,https://www.silla.ac.kr/ko/index.php?CgCode=2000&pCode=history&ptype=,retain_predecessor_open_id_separately_no_auto_join,"2009년과 2017년 동일 KEDI 폐교 후보가 반복되고 MBA과정 학과서명이 부합한다. 신라대학교 공식 연혁은 경영대학원을 국제경영대학원으로 바꾼 이력을 확인한다."
4080095410,동국대학교 영상정보통신대학원,ready_to_record,confirmed_identity_closed_name_change_predecessor_id,2009-2018,official_kedi_and_department_context,폐교|2009 KEDI 후보|2005 영상대학원으로 명칭변경,https://dic.dongguk.edu/page/1042,retain_predecessor_open_id_separately_no_auto_join,"2009년 KEDI 폐교 후보와 네트워크관리학과가 일치한다. 동국대학교 공식 연혁은 영상정보통신대학원 운영과 2005년 영상대학원 명칭변경 및 네트워크관리학과 폐지를 직접 명시한다."
9206062912,동아대학교 언론홍보대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2009-2016,official_kedi_and_exact_departments,폐교|2011 KEDI 후보|2008 폐지,https://cms.donga.ac.kr/kor/CMS/HistoryMgr/list.do?mCode=MN011&searchItem1=CDE_000087,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,"2011년 KEDI 폐교 후보와 광고홍보학과·신문방송학과 조합이 일치한다. 동아대학교 공식 연혁은 언론홍보대학원과 두 학과가 2008년 폐지되었음을 확인한다."
2545302689,신라대학교 조형대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2009-2015,official_kedi_and_exact_departments,폐교|2009 KEDI 후보|공식 폐지 이력,https://www.silla.ac.kr/ko/index.php?CgCode=2000&pCode=history&ptype=,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,"2009년 KEDI 폐교 후보와 산업공예디자인학과·조형예술학과 조합이 일치한다. 신라대학교 공식 연혁은 조형대학원 폐지를 확인한다."
3042672216,동덕여자대학교 비만과학대학원,ready_to_record,confirmed_identity_closed_name_change_predecessor_id,2009-2015,official_kedi_and_exact_department,폐교|2009 KEDI 후보|공식 설립·후속 명칭변경 이력,https://dongduk.ac.kr/www/contents/kor-hist.do,retain_predecessor_open_id_separately_no_auto_join,"2009년 KEDI 폐교 후보와 비만관리학과가 일치한다. 동덕여자대학교 공식 연혁은 비만과학대학원 설립과 후속 대학원 명칭변경 계보를 확인한다."
6505783319,동덕여자대학교 여성개발대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2009-2015,official_kedi_and_exact_departments,폐교|2010 KEDI 후보|공식 설립 이력,https://dongduk.ac.kr/www/contents/kor-hist.do,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,"2010년 KEDI 폐교 후보와 국제컨벤션ㆍ이벤트학과·문예창작학과 조합이 일치한다. 동덕여자대학교 공식 연혁은 여성개발대학원 설립과 구성 학과를 확인한다."
4468261480,협성대학교 행정대학원,ready_to_record,confirmed_identity_department_residual_id,2013-2015,official_same_year_department_context,기존|2013~2015 동일연도 KEDI 문맥,https://www.uhs.ac.kr/gssoc/2114/subview.do,retain_historical_open_id_separately_no_auto_join,"2013~2015년 동일 지역 KEDI 행정대학원 문맥과 행정학과 서명이 일치한다. 협성대학교 공식 대학원 연혁과 자체평가 자료도 행정대학원 행정학과 운영을 확인한다."
6058101713,협성대학교 경영대학원,ready_to_record,confirmed_identity_department_residual_id,2013-2015,official_same_year_department_context,기존|2013~2015 동일연도 KEDI 문맥,https://www.uhs.ac.kr/gssoc/2114/subview.do,retain_historical_open_id_separately_no_auto_join,"2013~2015년 동일 지역 KEDI 경영대학원 문맥과 경영학과 서명이 일치한다. 협성대학교 공식 대학원 연혁과 자체평가 자료도 경영대학원 경영학과 운영을 확인한다."
