source_group,dataset_id,dataset_name,provider,delivery_type,official_url,reference_years,unit,major_fields,priority,format_or_endpoint,modified,license,download_status,notes
EDSS,16918,고등교육학교개황,교육부·한국교육학술정보원 EDSS,파일데이터,https://www.edmgr.kr/edss/es/opd/odd/od/es_opd_oddod01_001,2009~2025,원본 필드 및 행 수준 확인 필요,"조사년도,학교구분명,시도명,지역명,본분교명,학제유형명,학사심화과정2학년재적학생수,학사심화과정1학년재적여학생수,학사심화과정1학년재적학생수,학사심화과정재적여학생수,학사심화과정재적학생수,6학년재적여학생수,6학년재적학생수,5학년재적여학생수,5학년재적학생수,4학년재적여학생수,4학년재적학생수,3학년재적여학생수,3학년재적학생수,2학년재적여학생수,학사심화과정2학년재적여학생수,학사심화과정3학년재적학생수,학사심화과정3학년재적여학생수,학사심화과정4학년재적학생수,학사심화과정4학년재적여학생수,고등교육학교_입학생수,고등교육학교_학사심화과정입학생수,고등교육학교_여자입학생수,고등교육학교_학사심화과정여자입학생수,고등교육학교_졸업생수,고등교육학교_여자졸업생수,고등교육학교_교원수,고등교육학교_여자교원수,고등교육학교_사무직원수,고등교육학교_여자사무직원수,고등교육학교_건물면적,2학년재적학생수,1학년재적여학생수,고등교육학교_학교수,주간학교수,야간학교수,주야간학교수,남자학교수,여자학교수,공학학교수,고등교육학교_분교학교수,주간분교학교수,야간분교학교수,주야간분교학교수,남자분교학교수,여자분교학교수,1학년재적학생수,고등교육학교_재적여학생수,고등교육학교_재적학생수,고등교육학교_박사과정학과수,고등교육학교_심화과정학과수,고등교육학교_학과수,공학대학원대학교수,여자대학원대학교수,남자대학원대학교수,주야간대학원대학교수,야간대학원대학교수,주간대학원대학교수,대학원대학교수,공학분교학교수",1,공식 연도별/전체 파일,,EDSS 다운로드 정책 확인 필요,연도별 파일 목록 확인; 다운로드 엔드포인트 실측 대상,catalog_code=0101; domnCd=16918
EDSS,16920,대학교학생개황,교육부·한국교육학술정보원 EDSS,파일데이터,https://www.edmgr.kr/edss/es/opd/odd/od/es_opd_oddod01_001,2009~2025,원본 필드 및 행 수준 확인 필요,"조사년도,학교구분명,학과계열구분명,학제유형명,학제유형그룹명,단과대학명,학과명,수업형태명,학과특성명,대학교학생_야간6학년재적학생수,대학교학생_야간5학년재적여학생수,대학교학생_야간5학년재적학생수,대학교학생_야간4학년재적여학생수,대학교학생_야간4학년재적학생수,대학교학생_야간3학년재적여학생수,대학교학생_야간3학년재적학생수,대학교학생_야간2학년재적여학생수,대학교학생_야간2학년재적학생수,대학교학생_야간1학년재적여학생수,대학교학생_야간1학년재적학생수,대학교학생_야간여자휴학생수,대학교학생_야간휴학생수,대학교학생_야간여자재학생수,대학교학생_야간재학생수,대학교학생_야간6학년재적여학생수,대학교학생_입학지원자수,대학교학생_여자국가기술자격취득자수,대학교학생_국가기술자격취득자수,대학교학생_입대학생수,대학교학생_여자취업불가능자수,대학교학생_취업불가능수,대학교학생_여자외국인유학생수,대학교학생_외국인유학생수,대학교학생개황_여자취업자수,대학교학생개황_취업자수,대학교학생_여자졸업생수,대학교학생_졸업생수,대학교학생_여자입학생수,대학교학생_입학생수,대학교학생_여자입학지원자수,대학교학생_주간6학년재적여학생수,대학교학생_주간6학년재적학생수,대학교학생_주간5학년재적여학생수,대학교학생_재적여학생수,대학교학생_재적학생수,대학교학생_야간입학정원수,대학교학생_주간입학정원수,대학교학생_입학정원수,대학교학생_학과수,대학교학생_재학생수,대학교학생_여자재학생수,대학교학생_주간5학년재적학생수,대학교학생_주간4학년재적여학생수,대학교학생_주간4학년재적학생수,대학교학생_주간3학년재적여학생수,대학교학생_주간3학년재적학생수,대학교학생_주간2학년재적여학생수,대학교학생_주간2학년재적학생수,대학교학생_주간1학년재적여학생수,대학교학생_주간1학년재적학생수,대학교학생_주간여자휴학생수,대학교학생_주간휴학생수,대학교학생_주간여자재학생수,대학교학생_주간재학생수,대학교학생_여자휴학생수,대학교학생_휴학생수
",1,공식 연도별/전체 파일,,EDSS 다운로드 정책 확인 필요,연도별 파일 목록 확인; 다운로드 엔드포인트 실측 대상,catalog_code=0103; domnCd=16920
EDSS,16922,대학원학생개황,교육부·한국교육학술정보원 EDSS,파일데이터,https://www.edmgr.kr/edss/es/opd/odd/od/es_opd_oddod01_001,2009~2025,원본 필드 및 행 수준 확인 필요,"조사년도,학교구분명,학과계열구분명,야간박사과정남자입학생수,야간박사과정여자입학생수,주야간박사과정입학생수,주야간박사과정남자입학생수,주야간박사과정여자입학생수,대학원학생_재적학생수,재적남학생수,야간석사과정남자재학생수,대학원_야간석사과정여자재학생수,대학원_주간박사과정재학생수,주간박사과정남자재학생수,대학원_주간박사과정여자재학생수,대학원_야간박사과정재학생수,야간박사과정남자재학생수,대학원_야간박사과정여자재학생수,대학원학생_휴학생수,남자휴학생수,대학원학생_여자휴학생수,석사과정휴학생수,대학원_야간석사과정재학생수,대학원_주간석사과정여자재학생수,주간석사과정남자재학생수,대학원_주간석사과정재학생수,박사과정여자재학생수,박사과정남자재학생수,박사과정재학생수,석사과정여자재학생수,석사과정남자재학생수,석사과정재학생수,대학원_여자재학생수,남자재학생수,대학원_재학생수,대학원학생_야간박사과정재적여학생수,야간박사과정재적남학생수,석사과정남자휴학생수,석사과정여자휴학생수,박사과정휴학생수,대학원학생_박사과정학과수,석사과정학과수,대학원학생_학과수,대학원학생_박사과정여자졸업생수,박사과정남자졸업생수,대학원학생_박사과정졸업생수,대학원학생_석사과정여자졸업생수,석사과정남자졸업생수,대학원학생_석사과정졸업생수,대학원학생_여자졸업생수,남자졸업생수,대학원학생_졸업생수,대학원학생_야간박사과정여자휴학생수,대학원_야간박사과정남자휴학생수,대학원학생_야간박사과정휴학생수,대학원학생_주간박사과정여자휴학생수,주간박사과정남자휴학생수,대학원학생_주간박사과정휴학생수,대학원학생_야간석사과정여자휴학생수,야간석사과정남자휴학생수,대학원학생_야간석사과정휴학생수,대학원학생_주간석사과정여자휴학생수,주간석사과정남자휴학생수,대학원학생_주간석사과정휴학생수,박사과정여자휴학생수,박사과정남자휴학생수,대학원학생_야간박사과정재적학생수,대학원학생_주간박사과정재적여학생수,야간석사과정남자입학생수,야간석사과정입학생수,주간석사과정여자입학생수,주간석사과정남자입학생수,주간석사과정입학생수,박사과정여자입학생수,박사과정남자입학생수,박사과정입학생수,석사과정여자입학생수,석사과정남자입학생수,석사과정입학생수,대학원학생_여자입학생수,남자입학생수,대학원학생_입학생수,주야간박사과정입학정원수,대학원학생_야간박사과정입학정원수,대학원학생_주야간석사과정입학정원수,대학원학생_야간석사과정입학정원수,대학원학생_주간석사과정입학정원수,대학원학생_박사과정입학정원수,대학원학생_석사과정입학정원수,대학원학생_입학정원수,야간석사과정여자입학생수,주야간석사과정입학생수,주야간석사과정남자입학생수,주간박사과정재적남학생수,대학원학생_주간박사과정재적학생수,대학원학생_야간석사과정재적여학생수,야간석사과정재적남학생수,대학원학생_야간석사과정재적학생수,대학원학생_주간석사과정재적여학생수,주간석사과정재적남학생수,대학원학생_주간석사과정재적학생수,박사과정재적여학생수,박사과정재적남학생수,박사과정재적학생수,석사과정재적여학생수,석사과정재적남학생수,석사과정재적학생수,대학원학생_재적여학생수,주야간석사과정여자입학생수,주간박사과정입학생수,주간박사과정남자입학생수,주간박사과정여자입학생수,야간박사과정입학생수,대학원학생_주간박사과정입학정원수
",1,공식 연도별/전체 파일,,EDSS 다운로드 정책 확인 필요,연도별 파일 목록 확인; 다운로드 엔드포인트 실측 대상,catalog_code=0105; domnCd=16922
EDSS,17129,신입생충원현황,교육부·한국교육학술정보원 EDSS,파일데이터,https://www.edmgr.kr/edss/es/opd/odd/od/es_opd_oddod01_001,2009~2025,원본 필드 및 행 수준 확인 필요,"조사년도,학교구분명,주야간계절구분명,학과명,학과상태명,학과특성명,단과대학명,적용년도,학과구분불가정원외지원자수,학과구분불가정원외모집인원수,총지원자수,신입생충원_정원외여자입학생수,신입생충원_정원외남자입학생수,신입생충원_정원내여자입학생수,신입생충원_정원내남자입학생수,정원외지원자수,정원내지원자수,정원외모집인원수,정원내모집인원수,신입생충원_입학정원수",1,공식 연도별/전체 파일,,EDSS 다운로드 정책 확인 필요,연도별 파일 목록 확인; 다운로드 엔드포인트 실측 대상,catalog_code=0305; domnCd=17129
EDSS,17132,재적학생현황,교육부·한국교육학술정보원 EDSS,파일데이터,https://www.edmgr.kr/edss/es/opd/odd/od/es_opd_oddod01_001,2009~2025,원본 필드 및 행 수준 확인 필요,"조사년도,학교구분명,주야간계절구분명,학과명,학과상태명,학과특성명,단과대학명,적용년도,재적학생_정원외여자휴학생수,재적학생_정원내여자휴학생수,재적학생_정원외남자휴학생수,재적학생_정원내남자휴학생수,재적학생_정원외여자재학생수,재적학생_정원내여자재학생수,재적학생_정원외남자재학생수,재적학생_정원내남자재학생수",1,공식 연도별/전체 파일,,EDSS 다운로드 정책 확인 필요,연도별 파일 목록 확인; 다운로드 엔드포인트 실측 대상,catalog_code=0310; domnCd=17132
EDSS,17141,중도탈락학생현황,교육부·한국교육학술정보원 EDSS,파일데이터,https://www.edmgr.kr/edss/es/opd/odd/od/es_opd_oddod01_001,2009~2025,원본 필드 및 행 수준 확인 필요,"조사년도,학교구분명,주야간계절구분명,학과명,학과상태명,학과특성명,학위과정구분명,단과대학명,적용년도,신입생재적학생수,신입생미등록중도탈락자수,신입생미복학중도탈락자수,신입생자퇴중도탈락자수,신입생학사경고중도탈락자수,신입생학생활동중도탈락자수,신입생유급제정중도탈락자수,신입생재학연한초과중도탈락자수,신입생기타중도탈락자수,중도탈락학생_기타중도탈락자수,중도탈락학생_재학연한초과중도탈락자수,중도탈락학생_유급제적중도탈락자수,중도탈락학생_학생활동중도탈락자수,중도탈락학생_학사경고중도탈락자수,중도탈락학생_자퇴중도탈락자수,중도탈락학생_미복학중도탈락자수,중도탈락학생_미등록중도탈락자수,중도탈락학생_재적학생수",1,공식 연도별/전체 파일,,EDSS 다운로드 정책 확인 필요,연도별 파일 목록 확인; 다운로드 엔드포인트 실측 대상,catalog_code=0316; domnCd=17141
EDSS,17312,전체교원대비전임교원현황,교육부·한국교육학술정보원 EDSS,파일데이터,https://www.edmgr.kr/edss/es/opd/odd/od/es_opd_oddod01_001,2009~2025,원본 필드 및 행 수준 확인 필요,"조사년도,학교구분명,학과한글명,단과대학명,적용년도,학부여자비전임겸임교원수,학부남자초빙비전임교원수,학부여자초빙비전임교원수,대학원여자전임강사전임교원수,대학원남자전임강사전임교원수,대학원여자조교수전임교원수,대학원남자조교수전임교원수,대학원여자부교수전임교원수,대학원남자부교수전임교원수,대학원여자교수전임교원수,대학원남자교수전임교원수,학부여자기타비전임교원수,대학원남자명예교수비전임교원수,대학원여자명예교수비전임교원수,대학원남자비전임겸임교원수,대학원여자비전임겸임교원수,대학원남자초빙비전임교원수,대학원여자초빙비전임교원수,대학원남자시간강사비전임교원수,대학원여자시간강사비전임교원수,대학원남자기타비전임교원수,대학원여자기타비전임교원수,학부남자기타비전임교원수,학부여자시간강사비전임교원수,학부남자시간강사비전임교원수,학부남자교수전임교원수,학부여자교수전임교원수,학부남자부교수전임교원수,학부여자부교수전임교원수,학부남자조교수전임교원수,학부여자조교수전임교원수,학부남자전임강사전임교원수,학부여자전임강사전임교원수,학부남자명예교수비전임교원수,학부여자명예교수비전임교원수,학부남자비전임겸임교원수",1,공식 연도별/전체 파일,,EDSS 다운로드 정책 확인 필요,연도별 파일 목록 확인; 다운로드 엔드포인트 실측 대상,catalog_code=0502; domnCd=17312
EDSS,17313,전임교원1인당학생현황,교육부·한국교육학술정보원 EDSS,파일데이터,https://www.edmgr.kr/edss/es/opd/odd/od/es_opd_oddod01_001,2009~2025,원본 필드 및 행 수준 확인 필요,"조사년도,학교구분명,대학계열명,적용년도,대학원재학생기준법정정원교원수,대학원학생정원기준법정정원교원수,학부재학생기준법정정원교원수,학부학생정원기준법정정원교원수,재학생기준전임교원수,1인당학생_전임교원수,대학원재학생수,대학원편제정원수,1인당학생_학부재학생수,1인당학생_학부편제정원수",1,공식 연도별/전체 파일,,EDSS 다운로드 정책 확인 필요,연도별 파일 목록 확인; 다운로드 엔드포인트 실측 대상,catalog_code=0503; domnCd=17313
EDSS,12543,국내외학술지게재논문실적,교육부·한국교육학술정보원 EDSS,파일데이터,https://www.edmgr.kr/edss/es/opd/odd/od/es_opd_oddod01_001,2009~2025,원본 필드 및 행 수준 확인 필요,"조사년도,학교구분명,학과한글명,적용년도,역서수_2017년이후_여자,저서수_2017년이후_남자,여자역서수,여자저서수,여자기타국제발간일반학술지등재건수,여자국제SCI급학술지등재건수,여자기타국내발간일반학술지등재건수,여자국내학술진흥재단등재건수,여자전임교원수,기타국제발간일반학술지등재건수_2017년이후_남자,국제SCOPUS학술지등재건수_2017년이후_남자,전임교원수_2017년이후_남자,국내학술진흥재단등재건수_2017년이후_남자,기타국내발간일반학술지등재건수_2017년이후_남자,국제SCI급학술지등재건수_2017년이후_남자",1,공식 연도별/전체 파일,,EDSS 다운로드 정책 확인 필요,연도별 파일 목록 확인; 다운로드 엔드포인트 실측 대상,catalog_code=0601; domnCd=12543
EDSS,17341,등록금현황,교육부·한국교육학술정보원 EDSS,파일데이터,https://www.edmgr.kr/edss/es/opd/odd/od/es_opd_oddod01_001,2009~2025,원본 필드 및 행 수준 확인 필요,"조사년도,학교구분명,주야간계절구분명,학과명,학과상태명,학과특성명,학위과정구분명,단과대학명,학년구분명,적용년도,등록금_전년도입학정원수,등록금_입학정원수,등록금_전학년도등록금,등록금_기성회비,등록금_수업료,등록금_입학금",1,공식 연도별/전체 파일,,EDSS 다운로드 정책 확인 필요,연도별 파일 목록 확인; 다운로드 엔드포인트 실측 대상,catalog_code=0714; domnCd=17341
